Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3161,3272,388,535
2025,7,July,2855,2855,562,546
2025,6,June,2731,2806,645,644
2025,5,May,3450,4106,508,494
2025,4,April,9148,11608,1311,1182
2025,3,March,13054,14258,1834,1953
2025,2,February,13059,13032,1347,1379
2025,1,January,14308,13554,1301,1678
2024,12,December,13603,12086,1482,1655
2024,11,November,13516,11726,1450,1750
2024,10,October,4695,3938,391,686
2024,9,September,3219,3036,325,453
2024,8,August,3163,3348,338,398
2024,7,July,3027,2910,411,487
2024,6,June,2847,2965,548,508
2024,5,May,3849,4854,430,520
2024,4,April,10994,15118,1712,1254
2024,3,March,17065,16834,2379,2732
2024,2,February,15449,16257,1461,1602
2024,1,January,15736,16392,1670,1800
2023,12,December,16174,13164,1606,2057
2023,11,November,13933,12221,1382,1772
2023,10,October,5547,4318,521,740
2023,9,September,2654,2418,404,445
2023,8,August,3514,6187,578,514
2023,7,July,8909,8551,948,1133
2023,6,June,6864,7405,1267,1031
2023,5,May,6357,6970,477,510
2023,4,April,13798,19038,1758,1452
2023,3,March,22703,22668,2489,2738
2023,2,February,19268,18847,1446,1597
2023,1,January,18877,20745,1795,1855
2022,12,December,21103,17488,1672,2269
2022,11,November,16342,15138,1510,1759
2022,10,October,11447,9950,759,1174
2022,9,September,6174,6567,615,761
2022,8,August,7916,9325,600,821
2022,7,July,8508,7830,734,1050
2022,6,June,5697,6418,796,694
2022,5,May,7418,9929,609,603
2022,4,April,15597,19042,1103,1226
2022,3,March,20114,18563,1449,1713
2022,2,February,10933,10430,635,896
2022,1,January,9651,12082,655,777
2021,12,December,15098,11633,661,1182
2021,11,November,10202,8231,405,726
2021,10,October,3937,2521,179,315
2021,9,September,1312,1215,96,97
2021,8,August,1855,1565,115,160
2021,7,July,268,16,12,43
2021,6,June,0,12,8,0
2021,5,May,30,76,13,5
2021,4,April,139,197,24,14
2021,3,March,74,150,18,9
2021,2,February,162,471,36,10
2021,1,January,1489,2422,178,143
2020,12,December,2133,382,30,225
2020,11,November,11,2,3,0
2020,10,October,5,0,0,0
2020,7,July,0,8,0,0
2020,6,June,5,0,12,0
2020,5,May,0,12,0,0
2020,4,April,0,11,0,0
2020,3,March,8967,19402,1395,1179
2020,2,February,22285,23023,1370,2019
2020,1,January,21888,22050,1584,2018
2019,12,December,21677,18389,1609,2423
2019,11,November,17830,16612,1145,1978
2019,10,October,9087,7076,498,949
2019,9,September,5266,5389,427,593
2019,8,August,6772,7180,504,810
2019,7,July,6847,6540,661,870
2019,6,June,5634,5879,979,1156
2019,5,May,7007,8189,508,792
2019,4,April,19832,24784,2319,2241
2019,3,March,25982,26898,2032,3041
2019,2,February,23862,24225,1447,2045
2019,1,January,25161,26673,1464,2009
