Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,4,0
2025,7,July,11,16,24,7
2025,6,June,0,0,7,6
2025,5,May,0,1,16,0
2025,4,April,4,6,1,0
2025,3,March,9,11,2,4
2025,2,February,4,3,6,9
2025,1,January,8,8,7,8
2024,12,December,3,8,35,1
2024,11,November,5,5,34,0
2024,10,October,3,3,7,2
2024,9,September,5,5,2,1
2024,8,August,0,2,3,3
2024,7,July,2,9,23,18
2024,6,June,1,1,21,15
2024,5,May,0,4,10,10
2024,4,April,5,11,21,0
2024,3,March,0,0,18,0
2024,2,February,0,0,4,3
2024,1,January,0,0,8,11
2023,11,November,0,0,17,6
2023,10,October,0,1,2,4
2023,9,September,0,8,9,8
2023,8,August,0,0,2,0
2023,7,July,5,10,49,1
2023,6,June,4,2,15,4
2023,5,May,0,0,10,11
2023,4,April,0,2,9,0
2023,3,March,0,2,24,0
2023,2,February,7,0,0,6
2023,1,January,0,0,9,7
2022,12,December,0,0,1,4
2022,11,November,8,4,30,17
2022,10,October,0,0,13,13
2022,9,September,0,0,33,23
2022,8,August,1,1,4,4
2022,7,July,1,1,23,7
2022,6,June,5,5,16,4
2022,5,May,0,0,20,3
2022,4,April,7,0,10,12
2022,3,March,0,0,12,0
2022,2,February,0,0,14,0
2022,1,January,0,2,54,17
2021,12,December,7,10,11,3
2021,11,November,0,0,19,0
2021,10,October,0,0,10,0
2021,9,September,1,13,12,7
2021,8,August,1,0,0,1
2021,6,June,1,0,19,1
2021,5,May,0,4,11,4
2021,3,March,0,0,18,6
2021,2,February,2,5,0,0
2020,12,December,0,0,18,0
2020,7,July,2,0,0,0
2020,6,June,2,0,4,6
2020,5,May,2,0,0,0
2020,3,March,3,0,13,26
2020,2,February,0,2,0,8
2020,1,January,0,1,16,7
2019,12,December,0,0,14,11
2019,11,November,3,3,27,3
2019,10,October,5,9,19,15
2019,9,September,13,11,10,3
2019,8,August,5,10,22,7
2019,7,July,1,1,19,10
2019,6,June,5,12,19,2
2019,5,May,2,2,19,18
2019,4,April,1,1,0,0
2019,3,March,5,14,8,2
2019,2,February,0,0,14,8
2019,1,January,0,10,41,12
