Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,79,85,55,55
2025,7,July,89,82,72,52
2025,6,June,73,37,38,63
2025,5,May,52,33,21,13
2025,4,April,45,39,19,17
2025,3,March,22,32,29,42
2025,2,February,34,45,12,10
2025,1,January,27,29,3,26
2024,12,December,30,5,11,3
2024,11,November,12,12,15,2
2024,10,October,33,48,21,34
2024,9,September,52,38,54,68
2024,8,August,113,117,66,80
2024,7,July,104,74,122,114
2024,6,June,71,48,22,32
2024,5,May,26,31,27,23
2024,4,April,17,26,2,3
2024,3,March,31,26,58,21
2024,2,February,43,17,12,23
2024,1,January,42,44,5,11
2023,12,December,47,17,4,10
2023,11,November,29,9,21,20
2023,10,October,55,55,22,37
2023,9,September,83,50,17,33
2023,8,August,107,104,71,70
2023,7,July,117,119,54,51
2023,6,June,58,37,20,36
2023,5,May,51,38,10,8
2023,4,April,34,26,5,19
2023,3,March,56,16,9,49
2023,2,February,41,24,15,18
2023,1,January,46,57,5,17
2022,12,December,89,23,35,35
2022,11,November,89,30,37,17
2022,10,October,43,14,13,19
2022,9,September,102,64,46,54
2022,8,August,103,79,41,43
2022,7,July,82,71,40,37
2022,6,June,51,27,26,40
2022,5,May,61,36,15,18
2022,4,April,27,32,11,3
2022,3,March,57,23,5,5
2022,2,February,18,14,16,26
2022,1,January,33,31,13,1
2021,12,December,43,17,24,6
2021,11,November,24,27,21,22
2021,10,October,44,30,5,5
2021,9,September,107,55,19,13
2021,8,August,319,66,12,26
2021,7,July,507,61,9,15
2021,6,June,236,14,4,6
2021,5,May,43,15,0,1
2021,4,April,27,9,0,1
2021,3,March,4,11,6,0
2021,2,February,14,3,4,0
2021,1,January,26,31,11,6
2020,12,December,69,6,10,5
2020,11,November,27,12,1,0
2020,10,October,43,13,3,2
2020,9,September,55,23,1,1
2020,8,August,54,64,3,0
2020,7,July,102,9,26,3
2020,6,June,82,9,10,3
2020,5,May,16,20,3,0
2020,4,April,2,0,0,0
2020,3,March,22,41,13,25
2020,2,February,19,12,16,21
2020,1,January,18,41,2,15
2019,12,December,50,35,26,26
2019,11,November,37,31,6,12
2019,10,October,45,15,9,40
2019,9,September,60,66,35,27
2019,8,August,118,106,39,99
2019,7,July,138,136,60,78
2019,6,June,61,22,37,38
2019,5,May,55,54,19,19
2019,4,April,25,22,12,11
2019,3,March,33,23,5,20
2019,2,February,11,22,22,21
2019,1,January,39,53,16,33
