Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,144,76,2199,2750
2025,7,July,125,137,6572,6619
2025,6,June,135,130,6392,6413
2025,5,May,98,94,5421,5329
2025,4,April,136,144,5012,5372
2025,3,March,150,154,9578,10788
2025,2,February,130,115,8126,8158
2025,1,January,256,215,6968,6573
2024,12,December,235,233,6253,6062
2024,11,November,186,207,5640,5947
2024,10,October,1102,894,5771,5078
2024,9,September,1034,871,2524,2257
2024,8,August,1043,1013,3539,4365
2024,7,July,1319,1023,10222,10086
2024,6,June,241,472,10010,10654
2024,5,May,403,263,7631,6899
2024,4,April,289,337,6378,7316
2024,3,March,268,238,9335,10409
2024,2,February,170,163,8713,9971
2024,1,January,287,197,7890,8659
2023,12,December,200,327,7191,7200
2023,11,November,223,248,5545,6267
2023,10,October,135,195,4523,4136
2023,9,September,149,173,976,882
2023,8,August,956,985,2359,3446
2023,7,July,907,823,4988,6159
2023,6,June,644,443,5438,5620
2023,5,May,185,138,4224,3664
2023,4,April,189,165,3718,4105
2023,3,March,128,101,5051,5185
2023,2,February,80,61,4608,4676
2023,1,January,155,100,4486,4765
2022,12,December,86,178,3792,2923
2022,11,November,106,96,2152,2203
2022,10,October,619,619,1287,1193
2022,9,September,638,552,1247,977
2022,8,August,595,582,1625,1947
2022,7,July,491,403,3606,3697
2022,6,June,569,516,3230,3038
2022,5,May,54,76,1540,990
2022,4,April,96,31,930,2493
2022,3,March,87,49,1394,3717
2022,2,February,48,7,1381,3098
2022,1,January,121,19,1472,3541
2021,12,December,44,48,1321,1797
2021,11,November,114,65,1067,1326
2021,10,October,33,33,91,105
2021,9,September,33,16,70,60
2021,8,August,19,13,379,526
2021,7,July,22,29,1375,1503
2021,6,June,8,9,1060,1465
2021,5,May,7,9,261,195
2021,4,April,51,0,89,824
2021,3,March,78,13,776,2308
2021,2,February,48,5,586,1279
2021,1,January,33,24,679,717
2020,12,December,12,10,404,279
2020,11,November,4,6,108,83
2020,10,October,6,5,17,17
2020,9,September,14,19,26,0
2020,8,August,6,0,6,45
2020,7,July,0,2,33,16
2020,6,June,2,6,25,28
2020,5,May,2,8,0,18
2020,4,April,0,0,8,6
2020,3,March,246,312,2379,2770
2020,2,February,582,500,3671,3739
2020,1,January,582,543,3175,3352
2019,12,December,668,724,1929,1451
2019,11,November,732,609,849,888
2019,10,October,680,694,794,826
2019,9,September,660,690,1461,1578
2019,8,August,879,937,2160,3231
2019,7,July,922,1021,3352,4953
2019,6,June,768,760,4331,5371
2019,5,May,775,795,2373,2347
2019,4,April,840,688,2496,2982
2019,3,March,620,626,3160,4101
2019,2,February,571,504,3170,3955
2019,1,January,747,584,2918,3399
