Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,4,April,750,1019,140,144
2025,3,March,2192,2223,286,317
2025,2,February,2032,1792,129,205
2025,1,January,2093,1861,158,234
2024,12,December,2278,1967,262,311
2024,11,November,1763,1499,148,209
2024,10,October,142,64,7,17
2024,4,April,322,532,56,60
2024,3,March,2054,1900,184,266
2024,2,February,1718,1650,112,143
2024,1,January,1746,1840,113,143
2023,12,December,2579,2220,210,251
2023,11,November,2345,1863,153,213
2023,10,October,315,86,10,18
2023,7,July,0,0,4,0
2023,4,April,793,1219,131,123
2023,3,March,2658,2454,172,308
2023,2,February,2743,2718,119,185
2023,1,January,2948,2976,200,292
2022,12,December,3125,2702,278,387
2022,11,November,2893,2338,144,255
2022,10,October,312,63,12,21
2022,4,April,2042,2742,192,149
2022,3,March,3041,2991,145,217
2022,2,February,1768,1581,59,81
2022,1,January,1538,1489,54,93
2021,12,December,1722,1330,66,111
2021,11,November,1440,1130,51,80
2021,10,October,108,0,0,4
2021,3,March,0,0,1,0
2020,3,March,1462,3125,204,201
2020,2,February,3848,4009,180,323
2020,1,January,4036,3928,248,302
2019,12,December,3512,2950,303,334
2019,11,November,3031,2682,157,337
2019,10,October,461,41,1,24
2019,4,April,3028,3698,360,282
2019,3,March,4464,4966,386,588
2019,2,February,5383,5219,309,423
2019,1,January,5340,5121,404,478
