Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,71,65,327,746
2025,7,July,90,76,301,642
2025,6,June,55,27,186,303
2025,5,May,33,11,90,192
2025,4,April,1,3,28,9
2025,3,March,0,1,17,0
2025,2,February,0,2,11,0
2025,1,January,0,1,3,0
2024,12,December,0,2,11,0
2024,11,November,0,4,29,0
2024,10,October,0,5,36,0
2024,9,September,23,21,84,192
2024,8,August,67,54,327,574
2024,7,July,98,106,278,533
2024,6,June,47,47,189,343
2024,5,May,39,50,175,225
2024,4,April,0,19,54,0
2024,3,March,0,3,10,0
2024,2,February,0,3,11,0
2024,1,January,0,0,1,0
2023,12,December,0,4,29,0
2023,11,November,0,10,12,0
2023,10,October,0,13,21,0
2023,9,September,38,40,207,229
2023,8,August,120,75,590,1250
2023,7,July,202,173,574,947
2023,6,June,70,49,239,387
2023,5,May,23,23,75,139
2023,4,April,0,2,18,0
2023,3,March,0,0,1,0
2023,2,February,0,2,15,0
2023,1,January,0,2,3,0
2022,12,December,0,0,10,0
2022,11,November,0,2,9,0
2022,10,October,0,5,35,0
2022,9,September,1,9,28,32
2022,8,August,1,4,116,127
2022,7,July,0,1,111,88
2022,6,June,0,0,108,33
2022,5,May,7,5,17,35
2022,4,April,0,0,16,3
2022,3,March,1,0,14,7
2022,1,January,0,1,0,0
2021,12,December,2,0,1,0
2021,11,November,0,0,3,1
2021,10,October,0,0,0,1
2021,9,September,5,0,3,1
2021,8,August,8,0,19,13
2021,5,May,1,2,0,1
2021,4,April,0,0,0,1
2021,2,February,1,0,0,1
2020,12,December,7,1,1,0
2020,11,November,2,1,0,5
2020,10,October,0,1,2,1
2020,9,September,0,0,2,0
2020,8,August,0,3,0,0
2020,6,June,0,0,1,0
2020,5,May,0,0,2,0
2020,4,April,0,0,3,0
2020,3,March,0,0,10,0
2020,2,February,0,5,6,0
2020,1,January,0,0,6,0
2019,12,December,0,2,2,0
2019,11,November,0,4,7,0
2019,10,October,0,0,3,0
2019,9,September,31,18,182,288
2019,8,August,149,170,1700,1918
2019,7,July,82,83,1193,1176
2019,6,June,19,19,300,280
2019,5,May,5,12,109,43
2019,4,April,0,0,13,0
2019,3,March,0,1,11,4
2019,2,February,0,0,2,0
