Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,26,9
2025,7,July,0,4,33,35
2025,6,June,1,2,17,11
2025,5,May,0,0,21,2
2025,4,April,0,0,12,9
2025,3,March,0,0,16,6
2025,2,February,1,0,2,3
2025,1,January,0,0,0,10
2024,12,December,0,2,33,18
2024,11,November,0,0,18,6
2024,10,October,2,0,9,14
2024,9,September,5,0,15,11
2024,8,August,4,4,30,15
2024,7,July,4,5,17,19
2024,6,June,0,6,5,12
2024,5,May,0,0,14,10
2024,4,April,0,0,4,8
2024,3,March,0,2,12,0
2024,1,January,3,4,0,9
2023,12,December,0,0,10,15
2023,11,November,0,0,7,2
2023,10,October,1,1,15,17
2023,9,September,0,3,21,11
2023,8,August,3,5,15,9
2023,7,July,0,2,15,2
2023,6,June,0,0,17,0
2023,5,May,0,0,6,0
2023,4,April,0,0,3,0
2023,3,March,0,0,2,0
2023,2,February,0,2,18,5
2023,1,January,0,0,13,0
2022,12,December,0,0,7,0
2022,11,November,0,0,18,0
2022,10,October,0,1,4,0
2022,9,September,0,0,14,0
2022,8,August,0,3,8,0
2022,7,July,0,0,22,0
2022,6,June,0,0,15,1
2022,5,May,0,0,15,0
2022,4,April,0,3,4,0
2022,2,February,0,0,4,2
2022,1,January,0,3,0,0
2021,11,November,0,1,12,0
2021,9,September,0,0,7,0
2021,8,August,0,0,5,0
2021,7,July,0,0,32,0
2021,5,May,0,0,7,0
2021,4,April,1,1,3,7
2021,3,March,0,0,2,0
2021,2,February,0,0,4,0
2020,12,December,0,4,0,0
2020,3,March,0,0,5,0
2020,2,February,0,0,4,0
2020,1,January,0,0,7,0
2019,12,December,0,0,32,0
2019,11,November,0,0,2,4
2019,10,October,0,0,10,0
2019,9,September,0,1,13,1
2019,8,August,0,2,20,0
2019,7,July,1,3,28,3
2019,6,June,0,0,30,1
2019,5,May,1,1,16,0
2019,4,April,0,0,15,0
2019,2,February,0,0,4,0
