Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,4,April,0,18,0,0
2025,3,March,0,13,2,0
2025,2,February,0,12,4,0
2025,1,January,0,7,2,0
2024,12,December,0,8,0,0
2024,11,November,0,2,0,0
2024,10,October,0,3,0,0
2024,4,April,0,6,6,0
2024,3,March,0,4,0,0
2024,1,January,0,0,2,0
2023,11,November,0,4,8,0
2023,8,August,0,0,6,0
2023,4,April,0,2,2,0
2023,3,March,0,0,6,0
2023,1,January,0,0,6,0
2022,12,December,0,0,2,0
2022,11,November,0,0,4,0
2022,4,April,0,0,7,0
2022,2,February,0,0,3,0
2021,12,December,0,0,2,0
2021,11,November,0,5,5,0
2021,4,April,0,3,4,0
2021,3,March,0,0,8,0
2020,11,November,0,3,0,0
2020,1,January,0,0,3,0
2019,12,December,0,0,9,0
2019,11,November,0,0,4,0
2019,4,April,0,1,1,0
2019,2,February,0,7,0,0
2019,1,January,0,0,3,0
