Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,5,30,26
2025,7,July,7,18,51,26
2025,6,June,9,9,91,79
2025,5,May,0,4,16,30
2025,4,April,25,18,54,69
2025,3,March,21,12,47,51
2025,2,February,19,14,34,44
2025,1,January,11,22,38,68
2024,12,December,12,5,66,32
2024,11,November,8,7,23,19
2024,10,October,7,7,19,33
2024,9,September,7,8,23,16
2024,8,August,4,10,22,15
2024,7,July,11,9,7,20
2024,6,June,6,11,12,25
2024,5,May,11,8,8,32
2024,4,April,7,12,33,44
2024,3,March,4,12,61,49
2024,2,February,12,6,30,62
2024,1,January,8,7,63,56
2023,12,December,24,5,40,37
2023,11,November,18,3,22,30
2023,10,October,6,12,14,21
2023,9,September,0,5,12,15
2023,8,August,11,15,44,37
2023,7,July,7,9,28,41
2023,6,June,12,2,22,39
2023,5,May,3,5,53,58
2023,4,April,20,16,29,59
2023,3,March,18,7,91,79
2023,2,February,43,22,45,66
2023,1,January,7,10,49,117
2022,12,December,23,17,40,52
2022,11,November,14,12,32,54
2022,10,October,20,11,16,19
2022,9,September,6,10,10,7
2022,8,August,28,13,35,59
2022,7,July,6,3,20,19
2022,6,June,19,21,33,46
2022,5,May,51,17,13,45
2022,4,April,45,20,31,53
2022,3,March,51,39,57,55
2022,2,February,33,10,46,50
2022,1,January,13,11,33,44
2021,12,December,19,14,39,33
2021,11,November,22,13,35,42
2021,10,October,14,12,11,7
2021,9,September,3,8,16,16
2021,8,August,8,5,32,28
2021,7,July,22,1,11,34
2021,6,June,34,14,36,9
2021,5,May,22,17,44,37
2021,4,April,21,7,38,42
2021,3,March,16,5,33,34
2021,2,February,41,2,6,34
2021,1,January,21,7,31,33
2020,12,December,9,7,5,5
2020,11,November,4,2,15,20
2020,10,October,15,13,1,16
2020,9,September,13,5,11,12
2020,8,August,11,4,4,15
2020,7,July,27,1,12,27
2020,6,June,18,2,6,30
2020,5,May,20,1,2,8
2020,4,April,15,0,0,3
2020,3,March,58,7,16,68
2020,2,February,22,21,44,74
2020,1,January,23,10,47,113
2019,12,December,16,5,29,29
2019,11,November,34,24,35,38
2019,10,October,22,6,13,15
2019,9,September,22,6,24,19
2019,8,August,29,4,2,70
2019,7,July,11,3,53,72
2019,6,June,26,24,52,75
2019,5,May,35,8,19,87
2019,4,April,36,17,20,79
2019,3,March,39,6,35,89
2019,2,February,29,10,34,87
2019,1,January,32,17,32,85
