Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,1,January,0,0,0,1
2024,10,October,0,0,1,0
2024,9,September,0,0,0,251
2024,6,June,0,0,5,3
2024,4,April,0,0,0,5
2024,3,March,0,0,0,6
2024,1,January,0,0,0,8
2023,12,December,0,0,0,4
2023,11,November,0,0,0,4
2023,9,September,0,0,0,7
2023,8,August,0,0,0,9
2023,6,June,0,0,0,27
2023,4,April,0,0,0,1
2023,2,February,0,0,11,0
2023,1,January,109,0,7,0
2022,11,November,0,0,0,1
2022,10,October,0,0,5,0
2022,8,August,0,0,10,0
2022,3,March,0,0,5,0
2022,1,January,0,0,3,0
2021,11,November,0,0,1,0
2021,7,July,0,0,2,0
2021,6,June,0,0,4,0
2021,5,May,0,0,4,0
2021,4,April,0,0,10,0
2021,2,February,0,0,0,1
2021,1,January,0,0,5,0
2020,11,November,0,0,8,0
2020,10,October,0,0,1,0
2020,8,August,0,0,14,0
2020,7,July,0,0,4,1
2020,5,May,0,0,1,0
2020,4,April,0,0,0,1
2020,3,March,0,0,0,1
2019,11,November,0,0,1,0
2019,10,October,0,0,10,0
2019,8,August,0,0,0,1
2019,7,July,0,0,6,0
2019,5,May,0,0,2,0
