Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,16,0,0
2025,5,May,0,0,4,0
2025,3,March,0,0,5,0
2025,2,February,0,5,0,0
2025,1,January,0,13,1,0
2024,12,December,0,0,19,0
2024,10,October,0,6,0,0
2024,3,March,0,3,5,0
2024,2,February,0,1,5,0
2024,1,January,0,7,0,0
2023,11,November,0,0,7,0
2023,10,October,0,0,6,0
2023,9,September,0,0,4,0
2023,8,August,0,0,4,0
2023,2,February,0,0,1,0
2023,1,January,0,0,6,0
2022,11,November,0,3,0,0
2022,9,September,0,0,2,0
2022,6,June,0,0,1,0
2022,5,May,0,2,8,0
2022,4,April,0,0,4,2
2022,2,February,0,1,6,0
2021,12,December,0,0,4,0
2021,5,May,0,0,8,0
2020,11,November,0,0,2,0
2020,10,October,0,7,10,0
2020,6,June,0,11,1,0
2020,5,May,0,11,1,0
2020,1,January,0,0,6,0
2019,12,December,0,0,12,0
2019,11,November,0,0,1,0
2019,9,September,0,1,10,0
2019,8,August,0,13,1,0
2019,7,July,0,2,0,0
2019,6,June,0,0,1,0
2019,5,May,0,3,4,0
2019,4,April,0,3,0,2
2019,3,March,0,2,14,0
2019,2,February,0,6,11,0
2019,1,January,0,0,3,0
