Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,10,3,18,22
2025,7,July,6,14,40,17
2025,6,June,0,2,70,39
2025,5,May,0,5,60,8
2025,4,April,7,10,37,53
2025,3,March,8,3,53,71
2025,2,February,2,1,55,45
2025,1,January,3,0,25,44
2024,12,December,0,1,51,35
2024,11,November,4,6,23,0
2024,10,October,11,19,35,27
2024,9,September,12,43,19,9
2024,8,August,12,2,21,26
2024,7,July,6,1,93,71
2024,6,June,16,28,71,33
2024,5,May,8,2,33,26
2024,4,April,2,25,76,45
2024,3,March,21,18,69,84
2024,2,February,2,6,39,32
2024,1,January,0,6,69,26
2023,12,December,7,2,49,7
2023,11,November,25,18,83,10
2023,10,October,11,26,31,6
2023,9,September,6,3,32,0
2023,8,August,22,24,20,36
2023,7,July,1,6,25,53
2023,6,June,6,12,14,12
2023,5,May,4,8,78,3
2023,4,April,16,17,25,54
2023,3,March,8,12,43,51
2023,2,February,6,7,57,33
2023,1,January,1,1,38,50
2022,12,December,22,11,26,35
2022,11,November,5,5,52,3
2022,10,October,4,7,53,17
2022,9,September,31,15,16,0
2022,8,August,7,24,32,18
2022,7,July,17,17,21,35
2022,6,June,1,12,54,43
2022,5,May,2,1,62,17
2022,4,April,0,6,39,23
2022,3,March,2,8,37,45
2022,2,February,0,7,5,8
2022,1,January,6,1,46,114
2021,12,December,4,0,29,10
2021,11,November,13,15,37,8
2021,10,October,1,2,1,3
2021,9,September,3,2,12,13
2021,8,August,0,1,10,8
2021,7,July,0,1,11,8
2021,6,June,39,1,9,119
2021,5,May,0,0,31,23
2021,4,April,0,0,9,2
2021,3,March,0,5,10,33
2021,2,February,0,1,10,20
2021,1,January,0,1,7,13
2020,12,December,6,7,0,2
2020,11,November,0,0,9,10
2020,10,October,0,0,19,16
2020,9,September,0,8,0,0
2020,8,August,0,0,2,0
2020,7,July,0,0,5,0
2020,6,June,0,0,5,4
2020,5,May,1,0,14,1
2020,4,April,0,0,0,9
2020,3,March,0,2,27,31
2020,2,February,20,20,39,38
2020,1,January,3,12,15,32
2019,12,December,1,3,21,10
2019,11,November,7,5,95,93
2019,10,October,9,21,35,27
2019,9,September,14,8,2,10
2019,8,August,8,14,49,27
2019,7,July,5,1,19,24
2019,6,June,39,10,35,39
2019,5,May,5,5,20,6
2019,4,April,1,4,14,37
2019,3,March,0,1,23,31
2019,2,February,8,4,39,27
2019,1,January,3,1,26,54
