Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,20,28,27,22
2025,7,July,22,34,2,13
2025,6,June,21,3,15,8
2025,5,May,15,166,62,2
2025,4,April,3072,3888,440,491
2025,3,March,5834,6379,630,672
2025,2,February,5465,5243,501,515
2025,1,January,5362,4918,501,600
2024,12,December,6123,5146,700,688
2024,11,November,5931,5070,562,728
2024,10,October,682,351,57,97
2024,9,September,39,21,65,44
2024,8,August,1838,1653,74,322
2024,7,July,813,414,38,183
2024,6,June,20,17,18,2
2024,5,May,5,26,13,0
2024,4,April,2763,4029,588,330
2024,3,March,7617,7215,2148,1902
2024,2,February,6225,6090,630,716
2024,1,January,6929,6657,929,1088
2023,12,December,7600,6286,1193,1109
2023,11,November,6815,5500,732,981
2023,10,October,789,241,136,112
2023,9,September,5,31,21,14
2023,8,August,2351,2008,106,164
2023,7,July,1118,675,120,271
2023,6,June,0,14,12,0
2023,5,May,5,2,19,20
2023,4,April,2742,3788,230,238
2023,3,March,6860,7035,768,816
2023,2,February,6029,6015,462,496
2023,1,January,6823,6476,522,706
2022,12,December,6150,4839,596,782
2022,11,November,4276,3500,249,465
2022,10,October,323,191,46,36
2022,9,September,1105,771,79,66
2022,8,August,1131,767,44,146
2022,7,July,66,72,36,16
2022,6,June,6,2,0,12
2022,5,May,13,172,10,9
2022,4,April,3608,4650,316,358
2022,3,March,5199,4751,361,487
2022,2,February,2903,2669,152,237
2022,1,January,2761,3020,161,184
2021,12,December,3254,2358,187,269
2021,11,November,2176,1454,93,139
2021,10,October,144,0,8,16
2021,9,September,0,9,0,0
2021,8,August,30,5,5,4
2021,7,July,1,13,76,16
2021,6,June,18,0,28,7
2021,5,May,2,0,2,4
2021,4,April,0,25,1,0
2021,3,March,16,10,0,9
2021,2,February,19,38,23,12
2021,1,January,290,83,26,21
2020,12,December,8,1,9,0
2020,11,November,0,11,42,4
2020,10,October,0,1,3,2
2020,9,September,2,1,11,22
2020,8,August,0,1,27,0
2020,7,July,3,2,8,6
2020,4,April,4,0,0,8
2020,3,March,4861,7826,393,563
2020,2,February,13579,12714,757,993
2020,1,January,14220,12735,955,1562
2019,12,December,12855,10685,1590,1368
2019,11,November,12258,10721,1273,1348
2019,10,October,9017,6947,1000,878
2019,9,September,8304,8171,771,348
2019,8,August,9238,9049,262,327
2019,7,July,8684,6885,759,1014
2019,6,June,7359,6345,2465,1471
2019,5,May,6192,5862,1048,751
2019,4,April,8644,8459,1090,1022
2019,3,March,12778,12314,1592,1531
2019,2,February,12897,11961,999,1080
2019,1,January,11956,11944,943,1267
