Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,9,September,0,0,3,0
2024,4,April,0,3,13,0
2023,9,September,0,0,2,0
2023,4,April,0,0,2,0
2023,3,March,0,0,2,0
2022,1,January,0,0,3,0
2021,6,June,0,0,3,0
2021,5,May,0,0,2,0
2021,4,April,0,0,2,0
2020,10,October,1,1,1,1
2020,3,March,0,0,1,0
2019,11,November,0,0,1,0
2019,10,October,0,0,5,0
2019,9,September,0,0,3,0
2019,8,August,0,0,2,0
2019,7,July,0,0,1,0
2019,6,June,0,0,5,0
2019,5,May,0,0,4,0
2019,3,March,0,0,2,0
2019,2,February,0,0,2,0
2019,1,January,0,0,5,0
