Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4200,4099,8028,8508
2025,7,July,4262,4115,10011,9900
2025,6,June,2791,3053,10837,9440
2025,5,May,4259,4499,8458,7863
2025,4,April,5391,5545,8429,8331
2025,3,March,6096,6343,8148,7966
2025,2,February,5374,5520,6871,6166
2025,1,January,5912,6165,5403,6119
2024,12,December,6337,6295,9932,7751
2024,11,November,6954,7017,8302,7749
2024,10,October,6302,6381,8316,7845
2024,9,September,5634,5744,7843,8053
2024,8,August,6191,6247,8970,9578
2024,7,July,5240,4901,11970,12133
2024,6,June,4257,4476,12358,11130
2024,5,May,5955,6468,10048,8657
2024,4,April,6031,6460,8689,8990
2024,3,March,6449,7014,9473,8666
2024,2,February,6414,6390,8297,7236
2024,1,January,5702,6318,6974,7373
2023,12,December,5665,5423,6546,4972
2023,11,November,5752,5781,5910,5467
2023,10,October,5908,6206,8091,7281
2023,9,September,5796,5880,8858,8297
2023,8,August,6005,6194,9705,9872
2023,7,July,5500,5649,12039,12434
2023,6,June,4492,4779,12994,11546
2023,5,May,6337,7191,10312,9768
2023,4,April,7111,7286,9815,9832
2023,3,March,6880,7064,9943,9574
2023,2,February,5927,5992,8576,8208
2023,1,January,5299,5685,8917,9363
2022,12,December,5629,5446,9480,8531
2022,11,November,5886,6159,9733,9113
2022,10,October,6182,6549,10393,10293
2022,9,September,5373,5360,9558,9198
2022,8,August,6324,6368,10247,11154
2022,7,July,5526,5532,11265,11608
2022,6,June,4925,5001,11709,10765
2022,5,May,5996,6895,8446,9022
2022,4,April,5151,5124,8513,8886
2022,3,March,4470,4285,7700,8328
2022,2,February,1964,1954,5953,6308
2022,1,January,1336,1693,5282,6689
2021,12,December,2782,2945,8410,7846
2021,11,November,2266,2277,7669,7800
2021,10,October,1247,1194,7230,7132
2021,9,September,319,277,5450,5249
2021,8,August,356,303,5804,6526
2021,7,July,242,226,7387,7727
2021,6,June,210,242,7786,8104
2021,5,May,275,208,6553,7154
2021,4,April,206,150,5730,6243
2021,3,March,102,104,3020,2850
2021,2,February,0,2,22,0
2021,1,January,0,6,33,0
2020,12,December,0,0,66,0
2020,11,November,0,2,61,0
2020,10,October,0,1,40,0
2020,9,September,0,2,19,0
2020,8,August,0,7,37,0
2020,7,July,0,2,25,0
2020,6,June,0,0,27,0
2020,5,May,0,3,0,0
2020,4,April,0,1,6,0
2020,3,March,861,1391,243,324
2020,2,February,2859,2976,674,696
2020,1,January,2748,2681,932,1418
2019,12,December,2809,2702,4460,4131
2019,11,November,2445,2594,4127,3953
2019,10,October,3043,3086,3418,3337
2019,9,September,2716,2928,4092,4301
2019,8,August,2811,2953,2742,2847
2019,7,July,2863,3040,6113,6259
2019,6,June,2475,2748,7411,7316
2019,5,May,3313,3679,8984,9215
2019,4,April,2991,3144,8171,8556
2019,3,March,3056,3087,8216,7893
2019,2,February,2572,2809,5579,5518
2019,1,January,2559,2808,5321,6568
