Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,1,0,0
2025,7,July,0,3,9,10
2025,6,June,0,6,0,0
2025,5,May,1,0,4,6
2025,4,April,1,10,0,11
2025,3,March,2,0,11,0
2025,2,February,0,0,3,0
2025,1,January,0,6,9,5
2024,12,December,0,0,7,3
2024,11,November,0,0,1,4
2024,10,October,0,1,3,1
2024,9,September,0,1,8,0
2024,8,August,0,0,3,8
2024,7,July,0,0,2,5
2024,5,May,2,3,14,11
2024,4,April,1,0,4,0
2024,3,March,0,1,6,2
2024,2,February,5,8,10,6
2024,1,January,0,0,4,5
2023,12,December,0,0,6,2
2023,11,November,0,0,11,9
2023,10,October,2,7,9,6
2023,9,September,0,0,16,2
2023,7,July,0,0,0,7
2023,6,June,0,5,2,12
2023,5,May,3,3,22,20
2023,4,April,0,8,0,12
2023,3,March,0,0,0,8
2023,2,February,0,6,0,0
2023,1,January,0,6,9,6
2022,12,December,0,0,9,0
2022,11,November,0,0,7,2
2022,10,October,0,0,26,0
2022,8,August,2,2,1,1
2022,7,July,0,0,4,4
2022,6,June,0,0,2,0
2022,5,May,0,0,6,0
2022,4,April,0,3,0,6
2022,3,March,0,0,9,4
2022,2,February,0,0,0,6
2022,1,January,0,0,10,1
2021,12,December,0,1,17,0
2021,10,October,0,0,0,6
2021,9,September,0,0,45,1
2021,7,July,0,0,1,0
2021,4,April,1,0,0,3
2021,3,March,0,4,0,4
2021,2,February,0,0,2,5
2021,1,January,0,0,14,12
2020,11,November,0,4,18,0
2020,10,October,4,0,0,0
2020,9,September,0,12,10,0
2020,8,August,0,5,1,0
2020,7,July,0,0,2,0
2020,4,April,0,0,0,8
2020,3,March,0,0,16,2
2020,1,January,0,8,2,10
2019,12,December,0,0,8,0
2019,10,October,0,6,6,8
2019,8,August,0,0,8,10
2019,7,July,0,0,8,4
2019,6,June,0,0,2,0
2019,5,May,0,4,16,9
2019,4,April,0,0,2,0
2019,3,March,0,4,0,0
2019,2,February,0,0,15,4
2019,1,January,0,0,8,2
