Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,13,1,31,77
2025,7,July,7,8,75,85
2025,6,June,6,6,72,89
2025,5,May,4,20,137,139
2025,4,April,29,22,91,87
2025,3,March,16,27,121,92
2025,2,February,10,8,50,107
2025,1,January,18,5,76,69
2024,12,December,5,17,62,42
2024,11,November,14,23,64,39
2024,10,October,23,17,17,12
2024,9,September,7,3,35,40
2024,8,August,17,8,32,104
2024,7,July,0,0,132,80
2024,6,June,2,6,123,138
2024,5,May,10,24,66,51
2024,4,April,7,3,37,44
2024,3,March,24,39,124,119
2024,2,February,12,10,61,74
2024,1,January,12,16,25,80
2023,12,December,2,4,74,91
2023,11,November,0,2,44,48
2023,10,October,6,21,16,31
2023,9,September,6,8,46,39
2023,8,August,3,1,78,88
2023,7,July,1,4,102,80
2023,6,June,3,6,149,112
2023,5,May,4,6,80,54
2023,4,April,1,14,70,89
2023,3,March,11,14,64,65
2023,2,February,11,14,37,90
2023,1,January,11,14,71,85
2022,12,December,2,2,66,32
2022,11,November,1,1,50,48
2022,10,October,0,1,31,18
2022,9,September,2,10,20,40
2022,8,August,6,7,122,112
2022,7,July,3,0,62,47
2022,6,June,2,3,67,59
2022,5,May,0,3,72,21
2022,4,April,0,2,67,30
2022,3,March,0,3,81,18
2022,2,February,10,0,45,48
2022,1,January,2,17,26,29
2021,12,December,1,12,67,27
2021,11,November,10,17,23,23
2021,10,October,2,0,12,9
2021,9,September,0,0,28,17
2021,8,August,0,2,11,18
2021,7,July,0,5,66,56
2021,6,June,0,2,20,37
2021,5,May,0,1,60,35
2021,4,April,3,4,52,29
2021,3,March,4,18,57,40
2021,2,February,1,3,29,30
2021,1,January,0,6,21,0
2020,12,December,0,4,41,14
2020,11,November,0,0,33,8
2020,10,October,0,1,8,12
2020,9,September,0,0,23,10
2020,8,August,0,0,2,0
2020,7,July,0,2,33,27
2020,6,June,0,0,3,3
2020,4,April,0,0,0,5
2020,3,March,0,2,27,8
2020,2,February,7,11,42,33
2020,1,January,6,7,31,34
2019,12,December,7,6,17,28
2019,11,November,0,7,56,25
2019,10,October,0,1,33,18
2019,9,September,0,0,17,37
2019,8,August,0,1,27,14
2019,7,July,0,5,34,15
2019,6,June,2,5,36,16
2019,5,May,0,4,39,26
2019,4,April,2,7,20,19
2019,3,March,3,8,43,16
2019,2,February,0,6,26,17
2019,1,January,0,9,4,11
