Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,9,22,11
2025,7,July,3,3,13,13
2025,6,June,0,0,6,8
2025,5,May,1,0,3,0
2025,4,April,0,3,12,17
2025,3,March,0,0,16,13
2025,2,February,0,0,22,14
2025,1,January,0,4,9,2
2024,12,December,0,0,8,9
2024,11,November,0,0,8,12
2024,10,October,6,6,14,15
2024,9,September,7,7,3,0
2024,8,August,10,4,33,55
2024,7,July,1,1,24,4
2024,6,June,18,1,12,12
2024,5,May,0,4,20,19
2024,4,April,14,2,199,1141
2024,3,March,278,240,3512,3526
2024,2,February,44,48,3546,3263
2024,1,January,1,10,676,96
2023,12,December,15,0,0,0
2023,11,November,11,0,8,12
2023,10,October,6,2,11,7
2023,9,September,2,0,2,0
2023,8,August,2,3,22,28
2023,7,July,1,0,2,26
2023,6,June,7,3,6,8
2023,5,May,5,4,9,20
2023,4,April,7,3,8,6
2023,3,March,7,0,17,25
2023,2,February,0,0,15,8
2023,1,January,5,4,4,22
2022,12,December,0,2,22,3
2022,11,November,8,1,6,21
2022,10,October,2,2,1,0
2022,9,September,9,6,6,14
2022,8,August,16,6,8,2
2022,7,July,7,0,5,8
2022,6,June,7,2,11,11
2022,5,May,4,9,9,22
2022,4,April,9,10,2,2
2022,3,March,2,2,5,9
2022,2,February,3,5,15,18
2022,1,January,0,0,1,13
2021,12,December,1,1,13,12
2021,11,November,2,6,51,50
2021,10,October,4,2,1,0
2021,9,September,2,6,8,7
2021,8,August,0,2,2,0
2021,7,July,0,14,0,9
2021,6,June,1,1,2,2
2021,5,May,1,0,5,0
2021,4,April,0,0,88,308
2021,3,March,2,4,310,352
2021,2,February,6,4,131,163
2021,1,January,0,0,0,21
2020,12,December,0,0,21,20
2020,11,November,1,1,2,0
2020,10,October,1,0,0,0
2020,8,August,3,6,1,1
2020,7,July,3,0,0,9
2020,6,June,0,3,0,0
2020,3,March,293,289,1469,2282
2020,2,February,233,216,3316,3027
2020,1,January,81,104,2030,1292
2019,12,December,14,42,216,88
2019,11,November,2,3,3,1
2019,10,October,5,1,4,0
2019,9,September,9,8,4,19
2019,8,August,4,1,1,15
2019,7,July,14,2,7,2
2019,6,June,6,5,9,22
2019,5,May,26,15,8,7
2019,4,April,29,8,185,1118
2019,3,March,508,447,3684,3851
2019,2,February,85,88,3646,3774
2019,1,January,49,53,2136,2012
