Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,344,143,149,456
2025,7,July,415,125,170,430
2025,6,June,485,164,149,419
2025,5,May,313,133,193,508
2025,4,April,421,122,141,410
2025,3,March,427,175,202,651
2025,2,February,472,171,162,426
2025,1,January,493,166,220,690
2024,12,December,660,187,329,515
2024,11,November,409,182,217,569
2024,10,October,413,381,209,346
2024,9,September,502,436,190,353
2024,8,August,391,255,182,251
2024,7,July,444,128,128,388
2024,6,June,378,411,139,447
2024,5,May,304,138,164,304
2024,4,April,316,227,233,344
2024,3,March,354,180,1248,636
2024,2,February,300,165,692,328
2024,1,January,263,165,107,482
2023,12,December,399,185,106,290
2023,11,November,256,163,342,470
2023,10,October,291,137,117,336
2023,9,September,206,124,72,178
2023,8,August,349,211,112,340
2023,7,July,289,123,94,331
2023,6,June,285,144,116,339
2023,5,May,293,162,148,350
2023,4,April,301,180,135,477
2023,3,March,360,577,406,777
2023,2,February,287,305,340,489
2023,1,January,351,551,207,648
2022,12,December,435,970,334,429
2022,11,November,279,259,399,510
2022,10,October,364,237,130,357
2022,9,September,340,204,117,255
2022,8,August,336,238,128,353
2022,7,July,421,251,140,400
2022,6,June,296,231,356,500
2022,5,May,290,900,772,469
2022,4,April,366,422,117,393
2022,3,March,453,546,218,646
2022,2,February,312,747,258,424
2022,1,January,489,1909,336,603
2021,12,December,650,1701,395,544
2021,11,November,682,415,132,497
2021,10,October,785,767,212,402
2021,9,September,582,1323,240,370
2021,8,August,980,726,156,397
2021,7,July,1105,731,270,487
2021,6,June,960,801,168,287
2021,5,May,1224,827,158,394
2021,4,April,1346,788,165,350
2021,3,March,1460,458,146,338
2021,2,February,697,171,63,238
2021,1,January,651,294,69,460
2020,12,December,628,336,162,227
2020,11,November,492,286,88,282
2020,10,October,485,288,127,318
2020,9,September,194,100,49,125
2020,8,August,197,93,55,147
2020,7,July,122,42,36,122
2020,6,June,115,81,47,94
2020,5,May,65,42,16,37
2020,4,April,22,12,23,13
2020,3,March,143,78,107,272
2020,2,February,179,104,116,214
2020,1,January,158,100,153,339
2019,12,December,240,143,171,265
2019,11,November,221,125,159,303
2019,10,October,233,110,89,201
2019,9,September,247,67,80,221
2019,8,August,177,125,106,179
2019,7,July,170,80,153,219
2019,6,June,261,96,121,330
2019,5,May,144,90,110,225
2019,4,April,317,111,179,249
2019,3,March,287,84,141,253
2019,2,February,191,99,108,285
2019,1,January,299,180,120,342
