Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,12,0
2025,7,July,0,0,2,0
2025,6,June,0,0,2,4
2025,5,May,0,0,3,4
2025,4,April,0,0,5,0
2025,3,March,0,2,8,1
2025,2,February,0,0,1,0
2025,1,January,0,0,5,0
2024,12,December,0,0,9,0
2024,10,October,0,0,7,12
2024,9,September,0,0,1,0
2024,8,August,0,0,4,0
2024,7,July,0,0,7,0
2024,6,June,0,0,4,0
2024,5,May,0,0,2,8
2024,4,April,0,0,0,3
2024,2,February,0,0,8,8
2024,1,January,0,2,14,0
2023,12,December,0,1,8,0
2023,11,November,0,0,2,0
2023,10,October,0,0,0,2
2023,9,September,0,2,10,0
2023,7,July,0,0,11,0
2023,5,May,0,0,2,4
2023,4,April,0,0,2,4
2023,3,March,0,0,8,0
2023,2,February,0,0,1,0
2022,12,December,0,1,5,0
2022,11,November,0,0,16,0
2022,10,October,0,0,10,6
2022,9,September,0,0,8,0
2022,8,August,0,1,0,0
2022,7,July,0,0,6,0
2022,5,May,0,0,13,7
2022,3,March,0,1,3,0
2022,1,January,0,0,3,4
2021,12,December,0,0,5,0
2021,11,November,2,4,1,6
2021,10,October,0,0,5,2
2021,9,September,0,0,3,0
2021,8,August,0,2,8,2
2020,8,August,0,1,0,0
2020,2,February,0,0,2,0
2020,1,January,0,2,3,1
2019,10,October,0,0,13,2
2019,9,September,1,1,0,0
2019,8,August,0,0,2,0
2019,7,July,3,3,4,0
2019,6,June,7,3,16,4
2019,5,May,1,1,5,0
2019,4,April,0,6,5,0
2019,2,February,1,1,9,8
2019,1,January,0,0,2,0
