Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,5,108,51
2025,7,July,0,16,176,66
2025,6,June,5,29,180,86
2025,5,May,7,24,155,60
2025,4,April,0,3,142,21
2025,3,March,1,14,222,62
2025,2,February,4,18,108,45
2025,1,January,11,29,90,68
2024,12,December,28,10,87,36
2024,11,November,27,19,134,64
2024,10,October,0,24,63,40
2024,9,September,0,3,37,15
2024,8,August,2,6,76,76
2024,7,July,6,4,138,74
2024,6,June,1,9,103,65
2024,5,May,0,7,141,56
2024,4,April,3,5,152,113
2024,3,March,7,19,190,72
2024,2,February,3,16,68,43
2024,1,January,13,18,88,50
2023,12,December,22,6,116,44
2023,11,November,2,7,65,23
2023,10,October,25,12,102,56
2023,9,September,0,5,66,17
2023,8,August,1,7,84,51
2023,7,July,7,14,148,87
2023,6,June,6,10,114,90
2023,5,May,4,7,103,61
2023,4,April,10,6,110,79
2023,3,March,5,37,121,80
2023,2,February,5,11,92,44
2023,1,January,4,15,41,34
2022,12,December,26,10,84,6
2022,11,November,36,15,62,28
2022,10,October,6,16,67,28
2022,9,September,5,4,28,9
2022,8,August,3,5,136,100
2022,7,July,0,4,173,30
2022,6,June,0,8,109,22
2022,5,May,2,1,124,33
2022,4,April,2,6,63,24
2022,3,March,5,20,239,92
2022,2,February,1,17,67,23
2022,1,January,1,7,69,31
2021,12,December,21,9,86,4
2021,11,November,5,4,46,14
2021,10,October,5,5,53,33
2021,9,September,0,16,19,0
2021,8,August,1,9,52,42
2021,7,July,1,6,119,29
2021,6,June,0,1,105,32
2021,5,May,12,17,74,31
2021,4,April,5,11,67,30
2021,3,March,5,1,103,33
2021,2,February,7,3,30,23
2021,1,January,2,3,87,29
2020,12,December,0,1,28,7
2020,11,November,0,0,20,8
2020,10,October,0,0,16,0
2020,9,September,0,1,20,0
2020,8,August,0,6,9,5
2020,7,July,0,0,59,1
2020,6,June,0,1,6,5
2020,5,May,2,0,1,14
2020,3,March,3,7,75,58
2020,2,February,12,1,43,30
2020,1,January,16,23,88,36
2019,12,December,20,4,136,86
2019,11,November,23,26,46,25
2019,10,October,8,3,45,47
2019,9,September,7,15,93,61
2019,8,August,0,9,91,63
2019,7,July,2,9,87,20
2019,6,June,0,21,128,52
2019,5,May,0,5,104,20
2019,4,April,2,10,87,49
2019,3,March,3,20,127,32
2019,2,February,11,22,93,80
2019,1,January,5,14,78,19
