Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,1,0
2025,6,June,0,0,4,9
2025,5,May,4,3,3,8
2025,2,February,0,4,17,0
2025,1,January,0,0,0,9
2024,11,November,0,2,2,0
2024,10,October,6,2,18,12
2024,9,September,8,3,5,8
2024,8,August,0,0,3,0
2024,7,July,0,0,0,3
2024,6,June,3,0,0,1
2024,5,May,0,4,2,0
2024,4,April,0,0,2,34
2024,2,February,0,0,2,2
2023,11,November,2,2,0,0
2023,10,October,0,3,0,6
2023,9,September,7,6,10,6
2023,8,August,0,0,0,8
2023,7,July,1,1,100,189
2023,6,June,0,2,4,0
2023,5,May,4,4,2,1
2023,4,April,23,12,0,7
2023,3,March,0,0,0,2
2023,2,February,0,0,0,6
2023,1,January,0,0,0,36
2022,11,November,0,3,9,0
2022,10,October,0,1,0,4
2022,9,September,9,10,2,0
2022,8,August,7,7,8,0
2022,7,July,0,0,3,4
2022,6,June,0,3,0,6
2022,4,April,5,7,0,0
2022,3,March,0,0,4,1
2022,2,February,0,0,2,2
2022,1,January,0,0,2,38
2021,11,November,0,0,7,2
2021,10,October,4,3,2,0
2021,9,September,4,8,7,7
2021,8,August,6,6,0,0
2021,7,July,1,0,2,3
2021,6,June,1,0,10,10
2021,5,May,0,3,0,0
2021,4,April,2,0,0,0
2021,1,January,0,0,0,37
2020,12,December,0,0,11,0
2020,11,November,0,1,0,0
2020,10,October,2,1,0,0
2020,9,September,1,2,0,0
2020,3,March,0,0,0,4
2020,2,February,0,0,10,2
2020,1,January,10,3,9,44
2019,12,December,0,4,0,2
2019,11,November,6,3,0,3
2019,10,October,7,8,0,0
2019,9,September,4,4,8,9
2019,8,August,0,0,0,1
2019,7,July,0,2,2,9
2019,6,June,3,16,5,3
2019,5,May,5,4,1,7
2019,4,April,0,0,2,10
2019,3,March,0,0,4,5
2019,1,January,10,7,2,0
