Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,45,20,52,64
2025,7,July,8,4,28,43
2025,6,June,7,16,83,75
2025,5,May,19,65,40,48
2025,4,April,12,12,30,58
2025,3,March,6,18,20,24
2025,2,February,15,9,31,84
2025,1,January,9,10,14,35
2024,12,December,8,7,34,21
2024,11,November,16,48,29,22
2024,10,October,13,27,24,13
2024,9,September,34,45,16,21
2024,8,August,30,49,67,58
2024,7,July,10,4,38,52
2024,6,June,20,22,57,66
2024,5,May,15,20,46,42
2024,4,April,25,19,30,77
2024,3,March,3,12,102,45
2024,2,February,6,7,46,44
2024,1,January,21,20,30,74
2023,12,December,5,8,59,37
2023,11,November,8,14,53,37
2023,10,October,20,27,2,1
2023,9,September,58,68,14,30
2023,8,August,12,29,40,30
2023,7,July,14,14,56,24
2023,6,June,9,11,62,74
2023,5,May,8,25,22,22
2023,4,April,32,42,60,76
2023,3,March,4,8,26,34
2023,2,February,7,6,70,60
2023,1,January,35,17,34,25
2022,12,December,6,9,42,42
2022,11,November,95,58,32,28
2022,10,October,20,26,11,19
2022,9,September,27,12,7,14
2022,8,August,7,15,51,87
2022,7,July,17,4,14,35
2022,6,June,4,6,26,49
2022,5,May,40,33,32,14
2022,4,April,14,12,20,74
2022,3,March,19,14,93,20
2022,2,February,3,5,49,28
2022,1,January,21,16,20,29
2021,12,December,10,10,19,13
2021,11,November,10,11,24,9
2021,10,October,27,10,11,6
2021,9,September,13,17,55,18
2021,8,August,10,16,14,24
2021,7,July,9,4,9,30
2021,6,June,5,4,25,48
2021,5,May,4,5,21,35
2021,4,April,4,1,4,33
2021,3,March,10,13,21,0
2021,2,February,10,6,21,16
2021,1,January,3,3,6,29
2020,12,December,0,2,31,0
2020,11,November,23,19,22,13
2020,10,October,11,8,24,18
2020,9,September,9,13,6,13
2020,8,August,0,2,4,2
2020,7,July,0,0,8,0
2020,6,June,2,0,0,0
2020,5,May,2,3,2,0
2020,3,March,8,8,25,24
2020,2,February,18,14,30,18
2020,1,January,14,14,17,31
2019,12,December,1,9,80,14
2019,11,November,14,6,29,44
2019,10,October,24,21,1,9
2019,9,September,49,74,6,6
2019,8,August,13,20,16,14
2019,7,July,14,15,36,37
2019,6,June,10,20,40,9
2019,5,May,40,34,71,44
2019,4,April,54,48,24,56
2019,3,March,2,10,63,24
2019,2,February,15,5,52,63
2019,1,January,14,8,15,30
