Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,6,0
2025,6,June,0,0,4,0
2025,5,May,0,4,1,0
2025,4,April,0,4,0,0
2025,3,March,0,2,0,0
2025,2,February,0,10,0,0
2025,1,January,0,8,5,0
2024,11,November,0,0,10,0
2024,10,October,0,5,2,2
2024,8,August,0,16,9,0
2024,6,June,0,2,5,0
2024,5,May,0,4,1,0
2024,4,April,0,4,0,0
2024,3,March,0,6,0,0
2024,2,February,0,0,3,0
2024,1,January,0,44,0,0
2023,12,December,0,7,10,0
2023,11,November,0,9,17,0
2023,9,September,0,0,0,2
2023,8,August,0,0,1,0
2023,5,May,0,0,2,0
2023,4,April,0,6,8,0
2023,2,February,0,8,27,0
2023,1,January,0,2,0,0
2022,12,December,10,6,7,0
2022,9,September,0,6,11,5
2022,8,August,0,0,8,6
2022,6,June,0,0,0,4
2022,5,May,0,0,4,0
2022,2,February,0,4,0,0
2022,1,January,2,2,0,2
2021,12,December,0,0,7,0
2021,9,September,0,0,2,0
2021,5,May,0,5,9,0
2020,11,November,0,0,1,0
2020,3,March,0,4,0,0
2020,2,February,0,0,5,0
2020,1,January,5,20,14,0
2019,12,December,4,0,0,0
2019,11,November,0,0,0,13
2019,9,September,2,2,14,6
2019,8,August,2,0,0,0
2019,3,March,0,0,0,1
2019,2,February,0,0,0,2
2019,1,January,0,15,0,0
