Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,12,0
2025,7,July,0,2,0,0
2025,5,May,0,0,4,0
2025,3,March,0,0,7,0
2025,1,January,0,12,0,0
2024,12,December,0,0,7,0
2024,11,November,0,2,11,0
2024,8,August,0,1,0,0
2024,6,June,0,12,0,0
2024,5,May,0,1,20,0
2024,3,March,0,0,10,0
2023,6,June,0,0,4,0
2023,4,April,0,13,3,0
2023,2,February,0,1,7,0
2022,12,December,0,0,6,0
2022,9,September,0,0,3,0
2022,8,August,0,0,10,0
2022,3,March,0,7,1,0
2022,2,February,0,0,6,0
2021,9,September,0,8,0,0
2021,8,August,0,0,7,0
2021,5,May,0,0,5,0
2021,4,April,0,0,9,0
2021,2,February,0,0,4,0
2020,7,July,0,6,8,0
2019,10,October,0,19,50,0
2019,7,July,0,0,1,0
2019,6,June,0,0,27,0
