Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,23,30,37
2025,7,July,3,7,58,35
2025,6,June,3,6,96,20
2025,5,May,4,6,31,11
2025,4,April,0,7,45,46
2025,3,March,6,13,76,68
2025,2,February,2,2,39,11
2025,1,January,0,52,41,39
2024,12,December,0,3,52,31
2024,11,November,0,45,48,53
2024,10,October,0,8,32,17
2024,9,September,2,19,21,18
2024,8,August,17,11,55,30
2024,7,July,6,12,60,26
2024,6,June,2,32,62,23
2024,5,May,7,13,27,13
2024,4,April,12,16,39,36
2024,3,March,18,6,106,33
2024,2,February,38,35,3,38
2024,1,January,4,4,49,26
2023,12,December,0,27,35,16
2023,11,November,4,2,60,39
2023,10,October,1,7,57,20
2023,9,September,1,11,26,13
2023,8,August,0,1,32,7
2023,7,July,2,21,81,33
2023,6,June,0,5,118,15
2023,5,May,8,6,40,1
2023,4,April,4,11,48,13
2023,3,March,0,22,95,34
2023,2,February,5,5,23,1
2023,1,January,3,4,15,25
2022,12,December,12,24,50,4
2022,11,November,7,8,40,30
2022,10,October,23,5,54,10
2022,9,September,3,5,44,23
2022,8,August,0,4,33,40
2022,7,July,0,7,79,16
2022,6,June,0,12,50,23
2022,5,May,1,11,58,14
2022,4,April,2,11,175,1
2022,3,March,1,0,61,23
2022,2,February,0,7,35,34
2022,1,January,1,7,21,21
2021,12,December,7,11,55,27
2021,11,November,0,7,15,10
2021,10,October,9,16,15,9
2021,9,September,0,4,22,4
2021,8,August,0,5,15,11
2021,7,July,0,2,33,13
2021,6,June,5,2,50,8
2021,5,May,0,2,17,5
2021,4,April,1,0,27,19
2021,3,March,5,0,20,17
2021,2,February,1,2,14,0
2021,1,January,1,5,19,23
2020,12,December,1,3,49,18
2020,11,November,0,3,32,23
2020,10,October,0,0,8,3
2020,9,September,0,0,12,24
2020,8,August,0,4,6,0
2020,7,July,0,8,24,23
2020,6,June,0,4,2,0
2020,5,May,0,4,0,0
2020,4,April,2,6,0,5
2020,3,March,2,20,31,9
2020,2,February,5,0,36,7
2020,1,January,5,14,33,22
2019,12,December,4,17,29,12
2019,11,November,2,38,31,20
2019,10,October,12,33,55,13
2019,9,September,8,22,15,9
2019,8,August,19,9,37,177
2019,7,July,1,11,40,151
2019,6,June,2,7,35,5
2019,5,May,0,26,34,11
2019,4,April,2,0,49,11
2019,3,March,0,10,99,54
2019,2,February,2,7,36,28
2019,1,January,0,1,35,26
