Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,2,0,0
2025,4,April,0,84,22,0
2025,3,March,0,39,23,0
2025,2,February,0,0,9,0
2025,1,January,99,6,7,28
2024,12,December,0,152,30,0
2024,11,November,0,5,0,0
2024,9,September,0,0,14,0
2024,8,August,0,12,4,0
2024,7,July,0,0,5,0
2024,4,April,0,43,9,0
2024,3,March,34,0,0,13
2024,2,February,0,21,28,0
2024,1,January,0,45,11,0
2023,12,December,35,0,6,12
2023,11,November,45,21,33,9
2023,10,October,0,5,0,0
2023,9,September,0,0,4,0
2023,8,August,0,0,4,0
2023,6,June,0,4,6,0
2023,4,April,0,26,40,0
2023,3,March,0,86,21,0
2023,1,January,0,38,8,0
2022,12,December,16,0,0,27
2022,10,October,0,42,8,0
2022,6,June,0,3,19,0
2022,5,May,0,26,56,0
2022,4,April,41,0,0,4
2022,2,February,0,86,22,0
2022,1,January,42,1,18,11
2021,12,December,0,0,6,0
2021,11,November,0,79,24,0
2021,10,October,0,0,2,0
2021,7,July,0,0,11,0
2021,6,June,0,0,9,0
2021,4,April,0,0,14,0
2021,3,March,0,0,4,0
2020,12,December,0,3,7,0
2020,10,October,0,0,7,0
2020,9,September,0,0,7,0
2020,8,August,0,1,3,0
2020,7,July,0,0,2,0
2020,6,June,0,0,9,0
2020,3,March,0,44,11,0
2020,2,February,0,0,4,0
2019,12,December,0,1,21,0
2019,11,November,0,4,7,0
2019,10,October,0,2,13,0
2019,9,September,0,1,6,0
2019,8,August,0,0,2,0
2019,6,June,0,0,12,0
2019,5,May,0,7,58,0
2019,3,March,0,0,16,0
2019,2,February,0,24,35,0
2019,1,January,0,25,36,0
