Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,0,0,5
2025,4,April,0,0,10,0
2025,3,March,0,0,5,0
2024,12,December,0,0,5,16
2024,7,July,0,0,4,0
2024,5,May,0,0,0,2
2024,4,April,0,0,5,0
2024,2,February,0,0,8,0
2023,11,November,0,0,0,6
2023,10,October,0,0,2,0
2023,9,September,0,0,2,0
2023,8,August,0,0,20,0
2023,6,June,0,0,8,0
2023,2,February,0,0,6,0
2022,7,July,0,0,8,0
2022,2,February,0,1,7,0
2022,1,January,0,0,6,0
2021,12,December,0,0,5,0
2021,10,October,0,0,2,0
2021,8,August,0,0,4,0
2021,6,June,0,0,10,0
2021,5,May,0,0,13,0
2021,4,April,0,0,6,0
2021,3,March,0,0,35,0
2021,2,February,0,0,37,0
2020,12,December,0,0,2,0
2020,10,October,0,0,8,0
2020,9,September,0,0,5,0
2020,8,August,0,0,4,0
2020,3,March,0,0,6,0
2019,11,November,0,0,4,0
