Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,19,28,35
2025,7,July,22,26,62,41
2025,6,June,11,37,60,37
2025,5,May,23,33,103,32
2025,4,April,35,16,19,138
2025,3,March,14,21,217,4
2025,2,February,12,11,21,26
2025,1,January,28,23,30,47
2024,12,December,18,21,30,30
2024,11,November,9,17,48,58
2024,10,October,10,3,24,26
2024,9,September,11,7,23,28
2024,8,August,13,23,17,37
2024,7,July,6,6,40,37
2024,6,June,8,14,40,27
2024,5,May,52,85,24,15
2024,4,April,33,41,39,48
2024,3,March,6,6,66,25
2024,2,February,10,17,34,9
2024,1,January,0,6,42,32
2023,12,December,18,14,22,1
2023,11,November,13,9,42,35
2023,10,October,19,20,42,26
2023,9,September,8,16,16,14
2023,8,August,1,17,35,22
2023,7,July,22,14,44,41
2023,6,June,2,12,68,26
2023,5,May,110,92,28,31
2023,4,April,19,15,60,95
2023,3,March,32,28,54,17
2023,2,February,20,35,56,47
2023,1,January,10,15,37,35
2022,12,December,2,7,79,20
2022,11,November,3,6,29,31
2022,10,October,29,15,34,21
2022,9,September,34,23,29,19
2022,8,August,18,12,46,30
2022,7,July,26,21,81,63
2022,6,June,5,1,90,29
2022,5,May,51,33,41,9
2022,4,April,28,23,113,100
2022,3,March,34,27,18,17
2022,2,February,6,2,33,24
2022,1,January,12,13,24,27
2021,12,December,23,19,13,43
2021,11,November,24,18,100,3
2021,10,October,18,13,9,34
2021,9,September,18,12,19,55
2021,8,August,5,14,9,29
2021,7,July,5,8,35,41
2021,6,June,6,2,32,103
2021,5,May,0,2,38,37
2021,4,April,17,8,10,40
2021,3,March,0,0,12,29
2021,2,February,0,0,0,15
2021,1,January,4,4,51,20
2020,12,December,0,2,14,10
2020,11,November,9,13,12,24
2020,10,October,0,3,13,2
2020,9,September,0,3,0,7
2020,8,August,0,2,15,4
2020,7,July,2,3,25,0
2020,6,June,0,0,3,0
2020,5,May,3,4,0,6
2020,4,April,0,0,0,2
2020,3,March,4,4,5,14
2020,2,February,1,0,30,16
2020,1,January,9,15,8,19
2019,12,December,10,0,22,27
2019,11,November,21,20,10,20
2019,10,October,8,13,0,6
2019,9,September,0,17,37,42
2019,8,August,3,9,24,7
2019,7,July,48,53,47,50
2019,6,June,20,23,56,18
2019,5,May,44,30,48,44
2019,4,April,2,0,27,129
2019,3,March,0,11,126,29
2019,2,February,0,4,37,6
2019,1,January,0,9,15,24
