Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,6,0,28,7
2025,7,July,0,11,14,12
2025,6,June,0,0,29,29
2025,5,May,0,4,47,18
2025,4,April,0,0,27,35
2025,3,March,0,0,31,5
2025,2,February,18,2,22,35
2025,1,January,2,6,31,8
2024,12,December,0,1,20,10
2024,11,November,1,4,23,5
2024,10,October,0,0,33,4
2024,9,September,0,0,15,25
2024,8,August,0,8,13,18
2024,7,July,0,0,35,0
2024,6,June,3,7,59,36
2024,5,May,4,0,45,25
2024,4,April,0,1,18,16
2024,3,March,3,2,56,37
2024,2,February,0,3,11,3
2024,1,January,0,0,42,45
2023,12,December,0,0,19,3
2023,11,November,0,0,24,17
2023,10,October,0,8,30,0
2023,9,September,2,10,4,0
2023,8,August,0,0,8,0
2023,7,July,0,4,21,26
2023,6,June,0,2,20,0
2023,5,May,0,0,37,24
2023,4,April,0,4,18,18
2023,3,March,3,3,40,26
2023,2,February,0,0,19,20
2023,1,January,0,8,56,32
2022,12,December,0,0,39,24
2022,11,November,0,0,29,22
2022,10,October,0,0,31,21
2022,9,September,0,0,27,0
2022,8,August,0,0,39,22
2022,7,July,0,5,31,24
2022,6,June,0,0,25,13
2022,5,May,0,0,14,19
2022,4,April,0,0,20,3
2022,3,March,0,0,34,27
2022,2,February,0,4,47,26
2022,1,January,0,8,22,4
2021,12,December,0,0,9,11
2021,11,November,0,9,17,17
2021,10,October,0,0,24,12
2021,9,September,4,3,7,5
2021,8,August,0,0,34,6
2021,7,July,0,1,9,28
2021,6,June,6,0,42,21
2021,5,May,0,0,19,2
2021,4,April,16,30,16,0
2021,3,March,29,103,8,6
2021,2,February,24,74,28,2
2021,1,January,0,8,7,34
2020,12,December,2,2,30,4
2020,11,November,0,5,17,6
2020,10,October,0,0,23,0
2020,8,August,0,0,6,0
2020,7,July,0,2,3,0
2020,6,June,0,0,8,16
2020,3,March,0,0,33,10
2020,2,February,0,0,26,4
2020,1,January,0,2,3,20
2019,12,December,0,5,19,7
2019,11,November,0,0,7,0
2019,10,October,2,0,13,18
2019,9,September,0,1,0,0
2019,8,August,0,0,23,33
2019,7,July,0,15,34,25
2019,6,June,3,0,2,11
2019,5,May,0,0,0,3
2019,4,April,1,0,11,11
2019,3,March,10,11,10,15
2019,2,February,0,5,41,16
2019,1,January,0,20,13,2
