Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3,7,40,28
2025,7,July,10,17,12,14
2025,6,June,2,12,29,4
2025,5,May,11,14,23,12
2025,4,April,14,13,32,20
2025,3,March,4,9,19,16
2025,2,February,2,1,5,16
2025,1,January,19,18,56,2
2024,12,December,1,10,17,20
2024,11,November,9,10,75,72
2024,10,October,25,14,29,17
2024,9,September,3,0,8,15
2024,8,August,1,0,17,14
2024,7,July,9,7,8,24
2024,6,June,0,17,11,44
2024,5,May,14,0,20,8
2024,4,April,15,11,38,18
2024,3,March,0,3,60,26
2024,2,February,13,14,53,31
2024,1,January,32,40,37,32
2023,12,December,29,19,59,5
2023,11,November,35,32,4,7
2023,10,October,34,19,21,23
2023,9,September,14,28,25,14
2023,8,August,0,1,25,16
2023,7,July,14,7,15,16
2023,6,June,0,1,57,42
2023,5,May,2,5,21,21
2023,4,April,14,13,56,37
2023,3,March,20,10,61,39
2023,2,February,3,9,30,10
2023,1,January,0,0,9,22
2022,12,December,12,8,23,12
2022,11,November,2,7,49,49
2022,10,October,22,13,18,10
2022,9,September,8,8,15,23
2022,8,August,11,15,46,30
2022,7,July,10,10,22,32
2022,6,June,2,0,13,12
2022,5,May,32,42,22,3
2022,4,April,7,18,37,43
2022,3,March,13,8,24,43
2022,2,February,5,1,16,19
2022,1,January,1,1,27,40
2021,12,December,4,1,14,7
2021,11,November,6,17,14,10
2021,10,October,22,28,22,9
2021,9,September,15,1,4,7
2021,8,August,0,0,18,27
2021,7,July,0,4,25,14
2021,6,June,1,2,35,29
2021,5,May,10,9,13,8
2021,4,April,0,2,9,1
2021,3,March,0,1,16,17
2021,2,February,1,0,17,8
2021,1,January,11,0,22,26
2020,12,December,0,0,19,4
2020,11,November,0,1,4,1
2020,10,October,2,0,17,5
2020,9,September,0,1,3,1
2020,8,August,10,3,3,3
2020,7,July,0,0,5,0
2020,6,June,0,0,4,0
2020,4,April,0,0,3,0
2020,3,March,8,6,12,6
2020,2,February,0,5,38,40
2020,1,January,3,19,21,25
2019,12,December,0,10,12,7
2019,11,November,0,7,7,16
2019,10,October,17,62,17,16
2019,9,September,11,14,19,13
2019,8,August,1,0,2,10
2019,7,July,0,3,13,22
2019,6,June,11,5,33,20
2019,5,May,5,1,30,10
2019,4,April,14,13,32,5
2019,3,March,14,12,17,33
2019,2,February,5,11,22,13
2019,1,January,2,1,14,26
