Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,6,28
2025,7,July,0,0,14,44
2025,6,June,8,1,32,56
2025,5,May,12,7,44,50
2025,4,April,10,8,33,82
2025,3,March,4,19,53,98
2025,2,February,8,2,56,33
2025,1,January,17,8,38,91
2024,12,December,3,7,15,62
2024,11,November,2,4,62,22
2024,10,October,0,4,12,11
2024,9,September,4,4,10,20
2024,8,August,4,2,14,19
2024,7,July,2,2,20,61
2024,6,June,2,0,22,77
2024,5,May,14,14,63,30
2024,4,April,6,13,36,43
2024,3,March,12,10,45,51
2024,2,February,3,6,49,45
2024,1,January,1,0,11,66
2023,12,December,2,8,40,33
2023,11,November,3,0,28,22
2023,10,October,3,2,14,23
2023,9,September,4,4,22,22
2023,8,August,4,4,9,24
2023,7,July,2,2,33,27
2023,6,June,7,4,22,39
2023,5,May,21,23,18,69
2023,4,April,11,3,27,61
2023,3,March,8,3,45,68
2023,2,February,6,9,25,25
2023,1,January,2,0,36,101
2022,12,December,3,3,16,49
2022,11,November,0,4,41,31
2022,10,October,1,0,9,18
2022,9,September,0,0,12,15
2022,8,August,7,7,16,52
2022,7,July,10,18,9,16
2022,6,June,14,1,22,46
2022,5,May,20,13,34,19
2022,4,April,3,0,13,22
2022,3,March,18,9,48,27
2022,2,February,0,5,31,36
2022,1,January,18,12,25,49
2021,12,December,16,9,57,9
2021,11,November,3,7,11,17
2021,10,October,3,2,9,13
2021,9,September,2,1,6,11
2021,8,August,0,0,2,5
2021,7,July,2,0,16,20
2021,6,June,14,5,24,37
2021,5,May,2,4,29,17
2021,4,April,3,0,12,38
2021,3,March,2,0,23,40
2021,2,February,5,1,10,7
2021,1,January,3,2,8,17
2020,12,December,0,4,13,20
2020,11,November,8,2,14,7
2020,10,October,6,0,4,1
2020,9,September,4,5,4,2
2020,8,August,0,0,0,6
2020,7,July,1,3,5,6
2020,6,June,0,0,1,0
2020,5,May,0,0,0,1
2020,4,April,0,0,1,0
2020,3,March,4,3,9,32
2020,2,February,4,2,44,25
2020,1,January,11,0,34,80
2019,12,December,7,4,61,50
2019,11,November,8,4,4,35
2019,10,October,5,0,6,24
2019,9,September,0,2,6,0
2019,8,August,0,2,16,34
2019,7,July,1,2,47,29
2019,6,June,10,10,26,26
2019,5,May,7,6,18,29
2019,4,April,8,7,18,28
2019,3,March,27,20,53,67
2019,2,February,7,4,52,56
2019,1,January,3,1,26,86
