Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,14,0
2025,7,July,0,6,4,0
2025,2,February,0,2,0,0
2025,1,January,0,0,1,0
2024,10,October,0,4,11,0
2024,8,August,0,0,12,0
2024,7,July,0,0,16,0
2024,5,May,0,0,3,0
2024,1,January,0,0,3,0
2023,10,October,0,0,5,0
2023,8,August,0,1,3,0
2023,7,July,0,0,8,0
2022,12,December,0,0,5,0
2022,3,March,0,0,6,0
2021,3,March,0,0,5,0
2019,9,September,0,5,0,0
2019,7,July,0,3,1,0
2019,4,April,0,2,2,0
