Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,10783,11064,68,75
2025,7,July,10417,9280,151,137
2025,6,June,8085,9361,151,152
2025,5,May,9894,7157,138,81
2025,4,April,5621,3660,44,73
2025,3,March,29,5,81,112
2025,2,February,44,27,76,47
2025,1,January,39,48,73,143
2024,12,December,47,12,98,62
2024,11,November,1920,4846,65,64
2024,10,October,9666,12230,30,52
2024,9,September,12943,13866,71,74
2024,8,August,15399,15639,98,86
2024,7,July,15041,13864,124,165
2024,6,June,11882,12060,89,137
2024,5,May,13333,9489,136,138
2024,4,April,6505,6499,109,119
2024,3,March,2905,272,138,89
2024,2,February,40,21,48,58
2024,1,January,32,10,50,112
2023,12,December,32,25,72,22
2023,11,November,3544,5893,62,61
2023,10,October,14056,17741,79,65
2023,9,September,17245,17396,54,81
2023,8,August,19437,20430,65,66
2023,7,July,19280,16772,171,162
2023,6,June,16363,16933,135,116
2023,5,May,19170,14124,166,150
2023,4,April,6488,5639,151,159
2023,3,March,1723,18,129,91
2023,2,February,36,23,77,74
2023,1,January,32,37,68,87
2022,12,December,94,549,100,51
2022,11,November,3001,5932,70,55
2022,10,October,15152,19091,88,78
2022,9,September,15994,17452,85,78
2022,8,August,20848,22243,120,139
2022,7,July,20701,18349,191,317
2022,6,June,15825,16399,150,120
2022,5,May,17919,12373,178,153
2022,4,April,9651,7997,91,86
2022,3,March,1929,97,136,98
2022,2,February,36,18,88,93
2022,1,January,19,25,70,51
2021,12,December,44,10,82,39
2021,11,November,43,9,89,73
2021,10,October,18,9,17,25
2021,9,September,0,3,18,14
2021,8,August,2,2,60,64
2021,7,July,4,2,82,86
2021,6,June,4,3,59,69
2021,5,May,8,17,61,52
2021,4,April,40,31,41,40
2021,3,March,36,10,84,41
2021,2,February,16,10,26,37
2021,1,January,22,2,34,56
2020,12,December,21,12,59,25
2020,11,November,19,2,23,11
2020,10,October,7,12,22,22
2020,9,September,1,1,17,7
2020,8,August,0,0,31,22
2020,7,July,2,0,42,33
2020,6,June,0,0,20,2
2020,5,May,3,3,0,9
2020,4,April,0,2,8,10
2020,3,March,7,11,69,42
2020,2,February,28,42,95,111
2020,1,January,17,9,92,104
2019,12,December,35,21,49,52
2019,11,November,17,14,63,49
2019,10,October,20,24,57,54
2019,9,September,14,7,53,67
2019,8,August,4,6,70,58
2019,7,July,2,6,47,47
2019,6,June,8,5,84,60
2019,5,May,16,7,95,76
2019,4,April,154,232,145,110
2019,3,March,968,1038,125,120
2019,2,February,811,560,62,55
2019,1,January,113,344,50,80
