Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,7,3,0
2025,7,July,7,10,19,4
2025,6,June,6,19,30,16
2025,5,May,16,27,83,18
2025,4,April,12,21,86,18
2025,3,March,31,31,106,20
2025,2,February,21,7,46,15
2025,1,January,12,8,33,33
2024,12,December,8,25,43,6
2024,11,November,39,20,16,3
2024,10,October,25,22,29,7
2024,9,September,4,6,7,0
2024,8,August,1,1,21,1
2024,7,July,13,15,27,16
2024,6,June,0,3,16,2
2024,5,May,13,23,37,3
2024,4,April,2,33,71,7
2024,3,March,12,21,49,7
2024,2,February,13,11,54,44
2024,1,January,6,5,34,25
2023,12,December,16,23,86,3
2023,11,November,18,26,41,7
2023,10,October,14,20,29,0
2023,9,September,6,7,12,0
2023,8,August,7,15,16,9
2023,7,July,7,4,5,1
2023,6,June,2,8,25,8
2023,5,May,22,22,53,18
2023,4,April,15,34,53,18
2023,3,March,24,25,38,29
2023,2,February,20,39,39,14
2023,1,January,3,6,31,19
2022,12,December,3,26,52,2
2022,11,November,25,25,54,2
2022,10,October,20,29,18,6
2022,9,September,7,4,4,0
2022,8,August,4,4,2,1
2022,7,July,13,12,9,9
2022,6,June,1,10,14,7
2022,5,May,8,36,41,10
2022,4,April,31,23,30,0
2022,3,March,13,24,52,18
2022,2,February,16,15,62,40
2022,1,January,10,13,36,5
2021,12,December,14,17,28,1
2021,11,November,38,18,19,1
2021,10,October,13,18,28,0
2021,9,September,9,22,1,0
2021,8,August,26,8,2,12
2021,7,July,31,10,13,22
2021,6,June,3,4,16,0
2021,5,May,3,15,45,0
2021,4,April,5,19,20,15
2021,3,March,9,5,45,47
2021,2,February,2,5,15,2
2021,1,January,1,4,3,0
2020,12,December,16,21,16,1
2020,11,November,1,1,75,41
2020,10,October,5,6,21,6
2020,9,September,1,5,16,3
2020,8,August,2,0,1,3
2020,7,July,0,0,31,6
2020,6,June,2,4,10,0
2020,5,May,3,0,0,0
2020,4,April,0,3,3,0
2020,3,March,6,27,14,42
2020,2,February,5,10,27,4
2020,1,January,13,11,21,17
2019,12,December,0,15,31,15
2019,11,November,8,4,9,0
2019,10,October,20,20,33,49
2019,9,September,8,11,0,2
2019,8,August,2,1,0,13
2019,7,July,0,0,14,0
2019,6,June,2,3,6,12
2019,5,May,13,5,18,19
2019,4,April,11,4,6,15
2019,3,March,28,23,55,22
2019,2,February,21,22,27,22
2019,1,January,9,10,27,5
