Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,552080,624013,397256,513808
2025,7,July,557265,583667,534436,584707
2025,6,June,478970,510422,561354,541365
2025,5,May,481345,546245,464737,457983
2025,4,April,561184,559780,395176,446306
2025,3,March,533408,607175,510161,554868
2025,2,February,539314,579611,393881,405864
2025,1,January,646998,710131,390440,556606
2024,12,December,688688,664285,539508,440486
2024,11,November,552548,589065,411569,408140
2024,10,October,517653,516138,369652,397416
2024,9,September,455894,493078,337485,398172
2024,8,August,592685,624212,414404,523044
2024,7,July,604859,607040,510439,572474
2024,6,June,512309,505892,561693,535801
2024,5,May,536600,575960,482690,473968
2024,4,April,556825,575271,399448,468218
2024,3,March,623155,617763,493263,516615
2024,2,February,592925,608160,404534,421069
2024,1,January,634762,705626,378875,541955
2023,12,December,684277,625004,504851,396270
2023,11,November,541534,574397,403471,418407
2023,10,October,504296,510879,356214,402648
2023,9,September,463018,470160,346269,379918
2023,8,August,550991,566131,384683,493778
2023,7,July,533034,528510,484325,543603
2023,6,June,444406,440871,510181,474649
2023,5,May,466776,498306,411327,421636
2023,4,April,517852,514300,366643,410195
2023,3,March,519257,515950,460267,490684
2023,2,February,502658,522261,363542,379609
2023,1,January,556037,604834,351607,501144
2022,12,December,590807,558681,484859,371305
2022,11,November,504960,540054,381206,399737
2022,10,October,481189,481155,354577,382024
2022,9,September,435440,437106,327248,361339
2022,8,August,496396,520256,347252,466948
2022,7,July,498232,490557,466115,506038
2022,6,June,424439,425214,477578,441896
2022,5,May,461922,503983,388372,396887
2022,4,April,527143,518865,335619,364876
2022,3,March,463076,483267,367781,399617
2022,2,February,408193,409914,262283,272888
2022,1,January,408601,488596,232063,361668
2021,12,December,505042,493144,390038,299441
2021,11,November,388816,384604,271144,282472
2021,10,October,324583,312305,225652,238501
2021,9,September,264217,267015,203380,216802
2021,8,August,308203,332816,243871,326735
2021,7,July,353840,352486,330029,334932
2021,6,June,350458,341920,286130,262704
2021,5,May,327873,315743,213940,209372
2021,4,April,231713,218227,178820,195672
2021,3,March,193560,163160,158171,148861
2021,2,February,123240,129743,87996,89437
2021,1,January,181804,179984,92326,172259
2020,12,December,201811,221399,181719,127135
2020,11,November,161266,160231,124482,121377
2020,10,October,108023,93010,85894,83588
2020,9,September,63309,57366,52875,55977
2020,8,August,49145,51539,50250,57074
2020,7,July,32643,42009,46508,40220
2020,6,June,17810,24711,12905,16078
2020,5,May,7518,20402,2188,7126
2020,4,April,3463,19023,1040,6530
2020,3,March,252669,391340,135280,231312
2020,2,February,594529,609176,284054,294966
2020,1,January,616989,686528,264409,388205
2019,12,December,677904,644705,375292,303377
2019,11,November,580042,600424,279148,287651
2019,10,October,548428,538150,271020,293761
2019,9,September,484646,512657,242215,279854
2019,8,August,616043,664195,282516,382185
2019,7,July,618068,610385,378480,438431
2019,6,June,520411,538209,419059,391889
2019,5,May,553819,604166,323386,323056
2019,4,April,632455,633982,262020,303868
2019,3,March,611533,659733,339142,369446
2019,2,February,595577,624111,265081,281635
2019,1,January,662654,735583,262408,398479
