Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,113,14,160,278
2025,7,July,187,23,98,190
2025,6,June,14,27,99,61
2025,5,May,73,17,83,76
2025,4,April,70,67,512,2341
2025,3,March,76,59,10563,11038
2025,2,February,32,35,8486,8024
2025,1,January,110,83,6049,5286
2024,12,December,63,64,1900,1000
2024,11,November,2,45,203,135
2024,10,October,4,7,48,20
2024,9,September,8,24,106,72
2024,8,August,44,26,100,146
2024,7,July,15,37,167,98
2024,6,June,278,70,198,168
2024,5,May,87,101,88,49
2024,4,April,29,74,770,1730
2024,3,March,161,50,5522,4964
2024,2,February,35,43,2426,2502
2024,1,January,48,45,2180,2301
2023,12,December,37,39,1203,699
2023,11,November,44,36,149,130
2023,10,October,45,41,151,34
2023,9,September,68,42,47,267
2023,8,August,9,48,100,65
2023,7,July,31,20,109,100
2023,6,June,139,17,63,220
2023,5,May,58,45,130,39
2023,4,April,38,24,641,659
2023,3,March,41,40,1287,1225
2023,2,February,13,24,779,713
2023,1,January,51,15,725,764
2022,12,December,21,34,534,352
2022,11,November,51,13,74,50
2022,10,October,469,514,511,515
2022,9,September,443,381,724,532
2022,8,August,509,417,1170,1057
2022,7,July,433,340,1003,991
2022,6,June,267,266,676,496
2022,5,May,19,10,67,76
2022,4,April,92,29,670,991
2022,3,March,112,82,1923,2250
2022,2,February,70,30,1337,1326
2022,1,January,71,32,939,1572
2021,12,December,17,175,938,516
2021,11,November,107,115,277,272
2021,10,October,22,8,38,26
2021,9,September,186,165,73,76
2021,8,August,4,24,47,25
2021,7,July,11,9,20,18
2021,6,June,4,4,24,15
2021,5,May,7,3,44,29
2021,4,April,3,13,41,26
2021,3,March,1,0,47,47
2021,2,February,1,1,12,40
2021,1,January,1,2,28,59
2020,12,December,3,0,86,64
2020,11,November,0,0,26,5
2020,10,October,1,1,13,10
2020,9,September,4,0,31,4
2020,8,August,0,2,16,1
2020,7,July,7,2,2,5
2020,6,June,0,8,13,4
2020,4,April,0,7,4,0
2020,3,March,276,442,5744,8328
2020,2,February,679,636,10534,10358
2020,1,January,609,628,6400,4828
2019,12,December,565,693,2067,1055
2019,11,November,879,891,978,940
2019,10,October,1011,1098,887,973
2019,9,September,1166,1096,812,1250
2019,8,August,1496,1447,1293,1654
2019,7,July,1656,1176,1352,2039
2019,6,June,1328,1162,1605,1330
2019,5,May,1722,1655,1462,1517
2019,4,April,1218,905,1709,4092
2019,3,March,985,949,13026,13757
2019,2,February,1016,816,10416,10524
2019,1,January,989,853,7449,6819
