Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,50623,52157,110900,120845
2025,7,July,46454,41254,120587,125874
2025,6,June,38475,39546,126664,118079
2025,5,May,37552,42998,99493,89809
2025,4,April,37885,34683,100811,125533
2025,3,March,29490,29315,194998,183974
2025,2,February,27494,27662,135674,133304
2025,1,January,33211,32377,132493,139022
2024,12,December,37789,43452,113060,92952
2024,11,November,33222,37510,67353,66011
2024,10,October,41446,42867,80798,90972
2024,9,September,42597,44052,93162,91621
2024,8,August,57997,55407,104348,115369
2024,7,July,54436,47156,107338,120078
2024,6,June,42449,42725,118238,111148
2024,5,May,39499,43508,91534,83628
2024,4,April,36164,33124,92536,113687
2024,3,March,32529,31285,170557,172543
2024,2,February,26760,26527,139004,133162
2024,1,January,32289,30929,120851,123835
2023,12,December,34091,38726,103676,88679
2023,11,November,31163,33526,65691,67074
2023,10,October,38295,38222,72007,81312
2023,9,September,39504,37422,81130,80041
2023,8,August,49077,44011,85690,94225
2023,7,July,43562,37635,95089,103255
2023,6,June,34389,33185,98713,91631
2023,5,May,33619,34793,76596,69542
2023,4,April,31098,28710,86889,101425
2023,3,March,25916,24816,143663,142279
2023,2,February,19994,18413,105674,103690
2023,1,January,25568,24257,101515,104852
2022,12,December,26933,31492,91396,75832
2022,11,November,24050,26596,53960,54327
2022,10,October,24016,23929,50134,54977
2022,9,September,24086,23859,59001,55435
2022,8,August,30513,29074,62110,70485
2022,7,July,28141,24909,67263,73985
2022,6,June,26343,24919,76917,65582
2022,5,May,24014,23754,53702,48188
2022,4,April,18297,17717,55604,69959
2022,3,March,15700,14116,105340,111005
2022,2,February,10154,9396,75970,75892
2022,1,January,11253,10381,62548,69784
2021,12,December,11445,14049,54304,44245
2021,11,November,9505,10096,24723,24854
2021,10,October,8355,8235,22131,23516
2021,9,September,7211,7090,24787,25130
2021,8,August,7202,6258,25882,29292
2021,7,July,5904,6212,27548,24903
2021,6,June,3919,4391,18199,16295
2021,5,May,3089,3374,11702,11547
2021,4,April,1753,1520,19464,28139
2021,3,March,1472,1633,39219,35925
2021,2,February,1142,1430,22681,21193
2021,1,January,3504,2538,23250,28021
2020,12,December,2405,3642,19757,13152
2020,11,November,1267,1803,6378,5179
2020,10,October,962,843,1500,1518
2020,9,September,736,533,641,623
2020,8,August,721,561,986,838
2020,7,July,780,658,334,300
2020,6,June,817,536,268,362
2020,5,May,309,357,146,203
2020,4,April,198,451,97,176
2020,3,March,14837,21554,62674,89718
2020,2,February,39189,39320,116583,115224
2020,1,January,45170,42340,103521,110834
2019,12,December,46841,51089,90745,77570
2019,11,November,40763,44235,63428,64695
2019,10,October,47205,48456,74259,82033
2019,9,September,50120,50665,86764,85437
2019,8,August,57523,58355,93526,100384
2019,7,July,54584,45586,95519,104062
2019,6,June,45340,44394,103954,98016
2019,5,May,45586,49585,83947,76756
2019,4,April,45523,40319,75060,91577
2019,3,March,37716,37594,148185,146224
2019,2,February,34892,32130,106747,104214
2019,1,January,40196,37567,94028,99753
