Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,18,10,12,75
2025,7,July,26,16,31,91
2025,6,June,34,30,62,136
2025,5,May,28,4,12,54
2025,4,April,13,21,8,41
2025,3,March,10,5,22,22
2025,2,February,8,14,23,25
2025,1,January,30,3,2,60
2024,12,December,36,11,21,10
2024,11,November,23,9,3,17
2024,10,October,61,20,32,154
2024,9,September,36,22,70,190
2024,8,August,24,24,22,74
2024,7,July,57,42,47,119
2024,6,June,44,23,26,96
2024,5,May,38,15,24,33
2024,4,April,13,13,24,9
2024,3,March,9,4,8,18
2024,2,February,14,5,24,17
2024,1,January,13,11,11,11
2023,12,December,24,45,53,12
2023,11,November,24,12,24,29
2023,10,October,31,15,81,185
2023,9,September,43,28,26,89
2023,8,August,42,14,19,117
2023,7,July,52,25,24,109
2023,6,June,42,9,19,101
2023,5,May,19,9,44,77
2023,4,April,13,12,16,14
2023,3,March,24,5,50,41
2023,2,February,19,9,23,47
2023,1,January,18,10,8,11
2022,12,December,16,7,1,19
2022,11,November,30,18,4,19
2022,10,October,10,6,68,116
2022,9,September,29,11,87,203
2022,8,August,39,8,28,67
2022,7,July,50,20,22,135
2022,6,June,15,10,23,44
2022,5,May,32,20,23,96
2022,4,April,11,1,20,8
2022,3,March,32,16,23,34
2022,2,February,9,4,3,4
2022,1,January,4,8,5,6
2021,12,December,20,34,4,19
2021,11,November,25,2,22,22
2021,10,October,41,5,11,95
2021,9,September,8,2,19,87
2021,8,August,15,4,18,60
2021,7,July,17,9,10,19
2021,6,June,2,2,0,8
2021,5,May,1,1,0,8
2021,4,April,0,4,1,11
2021,3,March,8,2,0,14
2021,2,February,0,3,1,11
2021,1,January,7,2,0,5
2020,12,December,2,2,0,3
2020,11,November,4,0,6,8
2020,10,October,2,0,0,2
2020,9,September,1,0,2,5
2020,8,August,5,2,0,1
2020,7,July,0,0,7,0
2020,6,June,0,2,0,0
2020,5,May,1,2,0,0
2020,4,April,2,0,0,2
2020,3,March,6,2,4,7
2020,2,February,13,2,30,11
2020,1,January,21,4,2,13
2019,12,December,24,1,5,7
2019,11,November,19,16,14,13
2019,10,October,20,9,34,134
2019,9,September,33,17,17,71
2019,8,August,21,12,25,66
2019,7,July,42,22,20,87
2019,6,June,9,12,29,89
2019,5,May,23,11,29,33
2019,4,April,29,7,3,16
2019,3,March,12,14,8,17
2019,2,February,9,15,21,13
2019,1,January,26,10,4,28
