Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,8,25
2025,7,July,0,0,24,38
2025,6,June,4,12,11,39
2025,5,May,5,0,23,49
2025,4,April,28,14,54,83
2025,3,March,0,0,57,27
2025,2,February,5,15,18,24
2025,1,January,0,0,29,91
2024,12,December,11,16,24,34
2024,11,November,0,6,1,5
2024,10,October,9,14,4,18
2024,9,September,6,0,7,7
2024,8,August,0,4,6,12
2024,7,July,0,6,13,19
2024,6,June,5,7,27,37
2024,5,May,4,4,44,13
2024,4,April,1,3,33,40
2024,3,March,0,1,56,56
2024,2,February,0,0,0,20
2024,1,January,0,0,16,26
2023,12,December,8,3,18,13
2023,11,November,11,28,33,34
2023,10,October,24,6,30,29
2023,9,September,0,0,15,22
2023,8,August,0,12,14,19
2023,7,July,0,16,0,21
2023,6,June,26,5,17,29
2023,5,May,4,6,22,22
2023,4,April,0,0,16,58
2023,3,March,3,6,21,25
2023,2,February,1,0,13,30
2023,1,January,14,4,16,27
2022,12,December,0,0,51,14
2022,11,November,29,30,25,37
2022,10,October,39,37,15,20
2022,9,September,68,68,1,7
2022,8,August,2,32,24,10
2022,7,July,0,1,10,13
2022,6,June,3,11,28,32
2022,5,May,6,0,8,26
2022,4,April,5,6,45,38
2022,3,March,3,0,22,34
2022,2,February,7,0,7,24
2022,1,January,5,1,17,20
2021,12,December,0,10,26,34
2021,11,November,17,0,14,23
2021,10,October,0,16,10,7
2021,9,September,17,8,12,16
2021,8,August,4,6,45,50
2021,7,July,0,3,37,21
2021,6,June,0,23,34,35
2021,5,May,0,3,38,43
2021,4,April,2,2,19,21
2021,3,March,0,0,9,17
2021,2,February,0,0,15,23
2021,1,January,1,0,4,54
2020,12,December,0,0,43,40
2020,11,November,0,1,8,6
2020,10,October,1,0,5,1
2020,9,September,0,0,1,1
2020,8,August,0,0,7,15
2020,7,July,0,1,8,3
2020,6,June,0,0,2,6
2020,4,April,1,0,0,4
2020,3,March,0,1,5,10
2020,2,February,1,0,11,34
2020,1,January,13,0,10,34
2019,12,December,8,23,38,30
2019,11,November,0,0,9,4
2019,10,October,3,0,0,5
2019,9,September,9,2,4,2
2019,8,August,0,0,29,9
2019,7,July,1,8,34,29
2019,6,June,2,0,27,58
2019,5,May,5,0,25,28
2019,4,April,6,3,49,55
2019,3,March,4,3,38,30
2019,2,February,1,0,27,41
2019,1,January,15,2,2,57
