Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,3,8,11
2025,7,July,1,4,53,32
2025,6,June,64,2,28,33
2025,5,May,0,8,17,4
2025,4,April,11,10,38,69
2025,3,March,4,4,74,45
2025,2,February,6,11,9,11
2025,1,January,15,15,44,47
2024,12,December,8,10,48,14
2024,11,November,33,11,50,42
2024,10,October,5,2,26,31
2024,9,September,11,6,56,27
2024,8,August,8,7,38,34
2024,7,July,5,2,35,8
2024,6,June,41,30,51,28
2024,5,May,1,4,12,12
2024,4,April,15,10,25,32
2024,3,March,7,4,30,33
2024,2,February,1,2,21,20
2024,1,January,1,1,39,29
2023,12,December,11,7,48,60
2023,11,November,8,6,20,8
2023,10,October,8,6,44,20
2023,9,September,3,7,39,18
2023,8,August,7,4,24,24
2023,7,July,28,2,21,7
2023,6,June,8,14,51,22
2023,5,May,8,2,14,11
2023,4,April,3,10,12,0
2023,3,March,2,4,30,16
2023,2,February,2,2,23,11
2023,1,January,0,17,20,2
2022,12,December,0,15,38,4
2022,11,November,4,6,37,0
2022,10,October,3,10,27,12
2022,9,September,3,3,27,22
2022,8,August,2,4,35,10
2022,7,July,0,2,18,0
2022,6,June,6,11,36,5
2022,5,May,8,18,22,27
2022,4,April,9,11,16,16
2022,3,March,7,6,21,9
2022,2,February,0,2,4,1
2022,1,January,0,0,11,3
2021,12,December,4,10,17,16
2021,11,November,0,6,16,0
2021,10,October,1,0,12,15
2021,9,September,3,2,14,10
2021,8,August,0,2,7,0
2021,7,July,0,14,2,0
2021,6,June,0,0,11,15
2021,5,May,0,1,3,0
2021,2,February,0,0,16,28
2021,1,January,3,4,12,5
2020,12,December,0,0,4,0
2020,11,November,16,0,0,2
2020,10,October,1,0,8,9
2020,9,September,1,1,5,6
2020,8,August,2,0,0,0
2020,7,July,0,4,13,9
2020,6,June,1,1,0,0
2020,5,May,2,0,0,0
2020,4,April,1,0,0,12
2020,3,March,11,2,8,0
2020,2,February,4,1,2,2
2020,1,January,8,10,12,11
2019,12,December,3,3,15,23
2019,11,November,2,3,16,14
2019,10,October,7,7,23,27
2019,9,September,17,34,74,62
2019,8,August,9,5,36,38
2019,7,July,11,15,72,56
2019,6,June,11,11,34,47
2019,5,May,21,16,37,28
2019,4,April,6,5,25,27
2019,3,March,22,8,22,40
2019,2,February,2,8,7,17
2019,1,January,4,9,25,22
