Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,7,0
2025,6,June,21,2,0,95
2025,3,March,0,17,0,0
2025,1,January,0,3,0,0
2024,12,December,0,0,12,0
2024,7,July,2,0,0,140
2024,3,March,0,0,4,0
2024,1,January,0,2,1,0
2023,7,July,0,0,3,0
2022,9,September,0,0,2,0
2022,4,April,0,0,0,8
2021,11,November,0,0,7,0
2021,2,February,0,0,2,0
2020,12,December,0,0,5,0
2020,2,February,0,16,1,0
2020,1,January,0,5,2,0
2019,12,December,0,0,18,0
2019,7,July,0,1,1,0
2019,6,June,0,0,9,0
2019,4,April,0,0,10,0
2019,3,March,0,6,5,0
2019,2,February,0,15,3,0
