Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,0,4
2025,7,July,0,4,34,28
2025,6,June,9,3,52,188
2025,5,May,0,1,31,5
2025,4,April,0,6,66,29
2025,3,March,22,49,22,14
2025,2,February,19,28,12,6
2025,1,January,5,5,12,14
2024,12,December,9,3,18,6
2024,11,November,2,0,27,44
2024,10,October,1,0,7,0
2024,9,September,0,1,18,14
2024,8,August,0,2,14,5
2024,7,July,5,6,35,49
2024,6,June,0,0,83,70
2024,5,May,19,16,24,6
2024,4,April,1,3,35,2
2024,3,March,5,2,45,24
2024,2,February,4,4,30,23
2024,1,January,0,0,13,23
2023,12,December,3,17,18,0
2023,11,November,5,7,5,18
2023,10,October,3,5,5,10
2023,9,September,7,10,5,2
2023,8,August,8,2,23,17
2023,7,July,0,0,26,17
2023,6,June,9,9,29,25
2023,5,May,0,5,39,0
2023,4,April,10,1,33,14
2023,3,March,9,13,34,19
2023,2,February,0,1,6,6
2023,1,January,1,1,10,14
2022,12,December,29,5,21,3
2022,11,November,6,19,7,25
2022,10,October,11,10,18,3
2022,9,September,0,2,14,6
2022,8,August,6,2,36,38
2022,7,July,2,2,18,3
2022,6,June,3,0,20,3
2022,5,May,264,379,20,26
2022,4,April,528,486,31,31
2022,3,March,348,235,26,16
2022,2,February,9,9,20,5
2022,1,January,2,3,8,4
2021,12,December,0,0,14,10
2021,11,November,10,2,4,5
2021,10,October,18,0,11,16
2021,8,August,0,0,0,14
2021,7,July,8,1,11,5
2021,6,June,0,1,28,10
2021,5,May,0,0,18,8
2021,4,April,0,0,27,0
2021,3,March,0,0,14,7
2021,2,February,1,0,17,14
2021,1,January,0,0,12,13
2020,12,December,0,5,11,0
2020,11,November,0,1,2,5
2020,10,October,0,0,0,8
2020,8,August,0,0,1,1
2020,7,July,0,1,19,0
2020,6,June,2,3,0,0
2020,5,May,0,3,0,0
2020,4,April,0,0,6,0
2020,3,March,162,158,6,3
2020,2,February,0,0,14,7
2020,1,January,0,11,15,11
2019,12,December,13,3,15,6
2019,11,November,3,8,5,4
2019,10,October,441,444,78,57
2019,9,September,385,336,55,62
2019,8,August,512,533,107,81
2019,7,July,464,421,86,131
2019,6,June,393,373,122,131
2019,5,May,688,834,82,64
2019,4,April,501,454,34,12
2019,3,March,511,469,21,16
2019,2,February,187,102,19,6
2019,1,January,0,6,3,10
