Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,11,9,0
2025,7,July,0,27,23,0
2025,6,June,0,2,0,3
2025,5,May,0,1,0,0
2025,4,April,0,2,0,0
2024,10,October,0,4,1,0
2024,9,September,0,11,20,0
2024,8,August,0,8,27,0
2024,7,July,0,39,9,0
2024,6,June,0,25,11,0
2024,5,May,0,2,1,0
2024,2,February,0,8,0,0
2023,9,September,0,13,0,0
2023,8,August,0,32,14,0
2023,7,July,0,20,23,0
2023,6,June,0,5,6,0
2023,5,May,0,0,2,0
2023,4,April,0,0,1,0
2022,10,October,0,4,4,0
2022,9,September,0,3,3,0
2022,8,August,0,2,4,0
2022,7,July,0,13,24,0
2022,6,June,0,6,0,0
2022,4,April,0,0,2,0
2021,11,November,0,2,0,0
2021,10,October,0,6,1,0
2021,9,September,0,7,6,0
2021,8,August,0,9,1,0
2021,7,July,0,16,5,0
2021,6,June,0,0,4,0
2020,9,September,0,4,1,0
2020,8,August,0,1,8,0
2020,7,July,0,1,4,0
2019,12,December,0,2,0,0
2019,10,October,0,11,7,0
2019,9,September,0,19,17,0
2019,8,August,0,47,35,0
2019,7,July,0,34,19,0
2019,6,June,0,3,13,0
2019,5,May,0,6,0,0
2019,4,April,0,2,0,0
2019,3,March,0,0,1,0
2019,1,January,0,0,1,0
