Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,51,38,85,157
2025,7,July,67,21,106,155
2025,6,June,78,53,123,174
2025,5,May,81,103,216,278
2025,4,April,140,248,325,446
2025,3,March,210,266,560,765
2025,2,February,236,259,461,535
2025,1,January,248,263,386,808
2024,12,December,341,191,392,359
2024,11,November,206,130,288,276
2024,10,October,111,50,122,104
2024,9,September,20,29,46,73
2024,8,August,38,20,69,117
2024,7,July,63,34,184,253
2024,6,June,26,53,248,225
2024,5,May,55,97,304,325
2024,4,April,146,308,384,568
2024,3,March,309,335,621,693
2024,2,February,199,171,418,463
2024,1,January,115,269,425,563
2023,12,December,410,166,329,284
2023,11,November,198,150,324,293
2023,10,October,228,142,135,211
2023,9,September,55,54,131,142
2023,8,August,45,17,104,126
2023,7,July,39,35,144,224
2023,6,June,34,32,242,324
2023,5,May,81,110,268,395
2023,4,April,128,208,331,474
2023,3,March,249,279,569,729
2023,2,February,259,174,473,528
2023,1,January,143,262,332,509
2022,12,December,351,124,356,333
2022,11,November,175,147,280,289
2022,10,October,74,53,88,56
2022,9,September,54,41,72,131
2022,8,August,29,22,95,145
2022,7,July,45,43,113,173
2022,6,June,12,45,192,213
2022,5,May,86,128,208,271
2022,4,April,154,372,331,401
2022,3,March,247,304,406,480
2022,2,February,220,202,301,376
2022,1,January,203,259,246,317
2021,12,December,408,185,184,210
2021,11,November,213,151,235,294
2021,10,October,144,52,93,86
2021,9,September,25,9,60,94
2021,8,August,52,63,86,138
2021,7,July,47,49,128,174
2021,6,June,33,85,199,231
2021,5,May,97,154,204,203
2021,4,April,252,89,229,313
2021,3,March,74,59,183,212
2021,2,February,28,69,155,206
2021,1,January,134,106,175,274
2020,12,December,147,45,147,147
2020,11,November,131,35,120,130
2020,10,October,76,30,37,41
2020,9,September,6,7,32,46
2020,8,August,2,10,27,24
2020,7,July,8,25,81,69
2020,6,June,14,13,31,34
2020,5,May,13,32,0,23
2020,4,April,3,47,0,2
2020,3,March,152,392,179,299
2020,2,February,147,181,288,313
2020,1,January,152,271,324,456
2019,12,December,200,117,236,138
2019,11,November,139,140,170,146
2019,10,October,77,58,66,58
2019,9,September,29,16,51,118
2019,8,August,15,13,70,111
2019,7,July,19,25,138,193
2019,6,June,28,18,198,197
2019,5,May,49,76,111,145
2019,4,April,81,141,273,282
2019,3,March,184,246,314,381
2019,2,February,221,189,244,288
2019,1,January,98,189,251,456
