Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,298390,318361,512749,567987
2025,7,July,277516,270083,528891,543434
2025,6,June,225388,233964,496500,435740
2025,5,May,230028,246443,398584,372799
2025,4,April,267910,252167,402489,405304
2025,3,March,235060,244468,380740,387298
2025,2,February,206674,202332,300476,299396
2025,1,January,233683,258815,307476,371522
2024,12,December,287254,299435,375966,327614
2024,11,November,232902,255999,327416,327485
2024,10,October,268640,267351,356503,386470
2024,9,September,244806,249435,398273,421228
2024,8,August,271525,280914,482030,527627
2024,7,July,283031,272277,517138,539722
2024,6,June,249485,244074,524992,474039
2024,5,May,266439,277476,436875,404895
2024,4,April,266105,262067,380219,402443
2024,3,March,263047,245818,383981,363811
2024,2,February,216951,214522,300024,289143
2024,1,January,238526,259524,283255,344411
2023,12,December,278026,296439,352928,293454
2023,11,November,229192,256233,314654,317001
2023,10,October,276238,280873,337801,390930
2023,9,September,266467,256989,393751,421178
2023,8,August,294764,293367,459564,511512
2023,7,July,275130,261226,483923,518334
2023,6,June,245385,236120,499671,442182
2023,5,May,257969,279464,415700,382536
2023,4,April,264554,250879,351243,354357
2023,3,March,229756,227684,329034,321916
2023,2,February,190026,185056,255398,252066
2023,1,January,208303,231587,258597,305478
2022,12,December,252906,262098,313391,269229
2022,11,November,208322,230430,276775,285785
2022,10,October,237871,237042,292555,322213
2022,9,September,224372,222346,335100,359520
2022,8,August,255974,260638,399405,456041
2022,7,July,240783,230132,449760,463804
2022,6,June,216839,213425,444284,388519
2022,5,May,217382,234354,356447,328478
2022,4,April,218528,210379,301277,295258
2022,3,March,164496,160763,255689,258831
2022,2,February,121884,116261,184745,173040
2022,1,January,132479,149152,154595,202765
2021,12,December,187579,211857,247716,208655
2021,11,November,156447,146313,222098,232728
2021,10,October,106250,114015,210173,222716
2021,9,September,110815,101323,193540,244518
2021,8,August,128463,117039,293946,351598
2021,7,July,108002,122658,305475,281429
2021,6,June,83357,100556,214555,182897
2021,5,May,66964,69493,128115,129227
2021,4,April,68796,60596,105147,124394
2021,3,March,56787,57123,92060,86745
2021,2,February,41744,41777,57782,61416
2021,1,January,75208,57229,62147,101461
2020,12,December,49577,87786,94016,64770
2020,11,November,42617,56348,63867,63367
2020,10,October,46357,47954,54070,57069
2020,9,September,43694,39821,44033,55568
2020,8,August,39832,45446,49577,52758
2020,7,July,20574,41852,30894,26983
2020,6,June,7139,19629,8971,10391
2020,5,May,2563,10614,3063,4919
2020,4,April,840,7742,1562,3063
2020,3,March,97652,150610,103720,185323
2020,2,February,212380,206182,253617,263131
2020,1,January,250205,266108,269579,326896
2019,12,December,294803,313588,316477,273867
2019,11,November,242052,260578,273613,276232
2019,10,October,291349,297035,284202,307580
2019,9,September,289930,287542,320268,344043
2019,8,August,321881,322664,375238,426305
2019,7,July,308369,290853,430678,456615
2019,6,June,282924,280015,449393,410224
2019,5,May,285779,290439,357834,332477
2019,4,April,296113,273292,311026,326761
2019,3,March,250638,247536,328353,336928
2019,2,February,215555,210641,252523,252037
2019,1,January,249311,264436,259965,310720
