Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1057,1184,1806,2486
2025,7,July,1342,1018,2167,2618
2025,6,June,870,901,2346,2028
2025,5,May,1005,1402,1820,1786
2025,4,April,2346,1800,2046,2284
2025,3,March,1681,1523,2203,2323
2025,2,February,1143,1048,1279,1276
2025,1,January,1396,1471,1020,1803
2024,12,December,1785,1601,1898,1572
2024,11,November,1454,1526,1475,1531
2024,10,October,2663,2501,1400,1690
2024,9,September,1809,2016,2215,2666
2024,8,August,2397,2374,3500,4372
2024,7,July,1913,1454,3175,3525
2024,6,June,1063,1232,3731,3244
2024,5,May,1792,2308,2953,2371
2024,4,April,2401,2423,2033,2262
2024,3,March,2223,1989,2634,2395
2024,2,February,2096,1997,1520,1426
2024,1,January,1822,1935,1207,1789
2023,12,December,2447,2206,1773,1548
2023,11,November,1871,2049,1909,2107
2023,10,October,4002,3580,1970,2345
2023,9,September,2465,2349,3211,3634
2023,8,August,1836,1694,4295,5134
2023,7,July,1779,1597,4241,4427
2023,6,June,1378,1169,4211,3619
2023,5,May,1349,1789,3091,2527
2023,4,April,1847,1694,2171,2222
2023,3,March,1252,1037,2675,2635
2023,2,February,493,234,800,765
2023,1,January,11,9,6,15
2022,12,December,1523,1482,1663,1323
2022,11,November,1334,1386,1978,2235
2022,10,October,2011,1561,2150,2521
2022,9,September,1452,1241,2459,2780
2022,8,August,1538,1866,2787,3014
2022,7,July,1909,1340,2789,2885
2022,6,June,152,108,255,302
2022,5,May,25,21,20,5
2022,4,April,18,4,37,12
2022,3,March,7,5,21,25
2022,2,February,7,0,13,8
2022,1,January,2,2,1,15
2021,12,December,11,11,37,54
2021,11,November,0,1,22,22
2021,10,October,21,6,26,7
2021,9,September,18,7,21,4
2021,8,August,82,20,26,130
2021,7,July,96,20,29,346
2021,6,June,31,8,10,57
2021,5,May,2,0,5,5
2021,4,April,4,2,2,0
2021,3,March,1,0,9,25
2021,2,February,1,2,5,0
2021,1,January,6,7,1,44
2020,12,December,1,0,55,18
2020,11,November,3,1,4,24
2020,10,October,2,2,3,11
2020,9,September,1,5,6,1
2020,8,August,10,12,9,8
2020,7,July,4,1,1,7
2020,6,June,3,0,10,1
2020,5,May,0,0,1,12
2020,4,April,0,0,0,9
2020,3,March,19,10,7,26
2020,2,February,7,4,29,23
2020,1,January,8,9,27,34
2019,12,December,7,0,33,54
2019,11,November,16,16,38,27
2019,10,October,17,49,52,48
2019,9,September,1331,2634,2493,2838
2019,8,August,3466,4817,7112,7345
2019,7,July,3902,3905,7076,7565
2019,6,June,3536,3284,7980,6517
2019,5,May,3254,3469,7082,5417
2019,4,April,3650,3870,5420,5491
2019,3,March,3166,2969,4809,4729
2019,2,February,3495,3673,2684,2545
2019,1,January,4408,5993,4168,5825
