Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,4,1,7
2025,7,July,0,4,0,0
2025,6,June,12,5,3,0
2025,5,May,3,5,24,26
2025,4,April,13,12,13,5
2025,3,March,0,3,10,0
2025,2,February,0,5,6,4
2025,1,January,10,5,5,1
2024,12,December,0,0,6,0
2024,11,November,0,0,2,0
2024,10,October,0,10,0,2
2024,9,September,0,9,1,0
2024,7,July,11,15,8,13
2024,6,June,5,5,0,0
2024,5,May,4,3,0,5
2024,4,April,0,4,0,0
2024,3,March,0,6,12,5
2024,2,February,0,1,7,0
2024,1,January,1,0,12,10
2023,12,December,0,0,26,11
2023,11,November,0,8,0,0
2023,10,October,8,5,1,10
2023,9,September,8,12,2,1
2023,8,August,0,1,1,0
2023,7,July,4,2,4,8
2023,6,June,0,18,6,0
2023,5,May,0,0,21,5
2023,4,April,5,6,8,23
2023,3,March,5,4,16,0
2023,2,February,8,8,7,12
2023,1,January,5,5,0,0
2022,12,December,1,0,2,2
2022,11,November,84,1,4,8
2022,10,October,12,12,0,1
2022,9,September,1,2,1,1
2022,8,August,1,4,5,3
2022,7,July,0,0,11,5
2022,6,June,1,1,21,16
2022,5,May,0,0,8,12
2022,4,April,0,0,16,7
2022,3,March,18,15,12,14
2022,2,February,0,1,9,9
2021,12,December,8,13,6,0
2021,11,November,14,15,11,11
2021,10,October,0,5,9,2
2021,9,September,2,0,4,1
2021,8,August,0,0,5,5
2021,5,May,0,3,3,4
2021,4,April,0,0,14,11
2021,3,March,0,0,5,0
2020,12,December,2,0,0,0
2020,11,November,1,0,0,2
2020,10,October,2,0,0,0
2020,9,September,0,1,0,0
2020,3,March,2,2,4,0
2020,2,February,0,0,7,12
2020,1,January,13,13,0,3
2019,12,December,8,10,8,0
2019,11,November,2,0,4,12
2019,10,October,2,2,7,12
2019,9,September,12,15,12,13
2019,8,August,13,11,12,6
2019,7,July,10,14,1,1
2019,6,June,19,3,3,6
2019,5,May,7,5,2,8
2019,4,April,23,12,22,11
2019,3,March,0,0,22,3
2019,2,February,14,7,8,20
2019,1,January,1,1,11,8
