Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,14,5,5,11
2025,7,July,16,6,10,20
2025,6,June,4,2,8,7
2025,5,May,11,0,9,9
2025,4,April,1,1,1,1
2025,3,March,6,2,1,3
2025,2,February,11,7,0,6
2025,1,January,12,4,0,8
2024,12,December,8,11,0,0
2024,11,November,8,6,1,19
2024,10,October,9,7,12,24
2024,9,September,9,10,5,8
2024,8,August,7,6,8,22
2024,7,July,6,4,2,12
2024,6,June,6,0,10,8
2024,5,May,13,11,19,2
2024,4,April,0,0,0,9
2024,3,March,7,5,2,1
2024,2,February,16,14,0,2
2024,1,January,2,0,0,0
2023,12,December,16,10,1,1
2023,11,November,21,6,2,2
2023,10,October,10,2,7,13
2023,9,September,9,4,0,8
2023,8,August,16,6,15,23
2023,7,July,16,17,6,43
2023,6,June,14,7,6,14
2023,5,May,36,18,12,3
2023,4,April,2,0,0,1
2023,3,March,6,5,1,2
2023,2,February,17,10,0,2
2023,1,January,1,0,0,0
2022,12,December,14,7,0,1
2022,11,November,11,9,0,1
2022,10,October,18,6,0,13
2022,9,September,11,4,7,5
2022,8,August,63,138,83,62
2022,7,July,24,2,6,9
2022,6,June,11,5,2,0
2022,5,May,19,19,5,17
2022,4,April,13,3,0,0
2022,3,March,10,0,0,0
2022,2,February,13,9,0,1
2022,1,January,2,8,0,2
2021,11,November,22,7,4,4
2021,10,October,28,5,0,0
2021,9,September,17,1,4,14
2021,8,August,10,6,0,6
2021,7,July,1,0,0,0
2021,6,June,0,0,1,1
2021,5,May,6,1,0,0
2021,3,March,12,5,2,2
2020,12,December,1,0,1,0
2020,10,October,1,0,0,0
2020,8,August,0,0,0,1
2020,7,July,2,3,0,0
2020,5,May,2,0,0,0
2020,3,March,3,0,0,2
2020,2,February,18,13,0,2
2020,1,January,8,5,1,1
2019,12,December,17,0,0,1
2019,11,November,22,16,0,15
2019,10,October,12,11,0,21
2019,9,September,24,4,7,13
2019,8,August,16,16,7,18
2019,7,July,26,9,3,29
2019,6,June,9,0,2,41
2019,5,May,3,4,12,45
2019,4,April,12,6,0,2
2019,3,March,18,2,0,5
2019,2,February,11,6,2,3
2019,1,January,13,10,0,7
