Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,0,9
2025,3,March,0,6,0,0
2024,9,September,3,231,49,0
2024,8,August,0,207,40,0
2024,7,July,0,201,73,0
2024,5,May,2,2,0,0
2024,4,April,0,2,0,0
2024,1,January,0,1,0,0
2023,10,October,1,3,0,0
2023,9,September,0,158,33,0
2023,8,August,0,142,30,0
2023,7,July,0,194,22,0
2023,4,April,0,5,0,0
2022,8,August,0,217,45,0
2022,7,July,0,302,39,0
2022,5,May,0,0,1,0
2021,11,November,0,0,3,0
2021,9,September,0,8,0,0
2021,8,August,1,0,0,0
2021,4,April,0,3,0,0
2020,3,March,0,0,2,0
2019,12,December,0,0,6,0
2019,10,October,0,1,0,0
2019,9,September,347,349,35,23
2019,8,August,47,34,20,38
2019,7,July,32,44,26,32
2019,6,June,1,0,2,0
2019,3,March,9,0,2,0
2019,2,February,0,0,8,2
2019,1,January,0,0,3,0
