Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,0,0
2025,6,June,0,4,0,0
2025,5,May,0,6,0,0
2025,2,February,0,4,0,0
2025,1,January,0,0,1,0
2024,11,November,0,22,0,0
2024,10,October,0,10,0,0
2024,9,September,0,77,2,0
2024,8,August,0,12,0,0
2024,7,July,0,3,5,0
2024,4,April,0,12,0,0
2023,10,October,36,53,2,0
2023,9,September,0,8,0,0
2023,8,August,0,0,7,0
2023,7,July,0,1,7,0
2023,6,June,0,20,0,0
2023,5,May,0,21,0,0
2023,4,April,0,17,0,0
2022,10,October,0,17,5,0
2022,9,September,47,62,0,0
2022,8,August,0,9,6,0
2022,7,July,0,9,0,0
2022,6,June,0,10,1,0
2022,5,May,0,121,0,0
2022,3,March,0,0,6,0
2021,12,December,0,0,6,0
2021,10,October,0,40,0,0
2021,9,September,0,26,0,0
2020,3,March,0,12,0,0
2019,11,November,0,32,0,0
2019,10,October,0,8,0,0
2019,9,September,0,32,6,0
2019,6,June,0,48,0,0
2019,4,April,0,31,1,0
