Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,0,7,4
2025,7,July,0,0,6,17
2025,6,June,2,0,5,19
2025,5,May,11,0,9,15
2025,4,April,0,0,1,4
2025,3,March,0,0,0,2
2025,2,February,0,0,0,2
2025,1,January,1,1,0,0
2024,11,November,0,0,0,1
2024,10,October,0,0,0,3
2024,9,September,0,0,12,2
2024,8,August,0,0,4,3
2024,7,July,0,3,7,13
2024,6,June,0,0,18,24
2024,5,May,7,1,5,29
2024,4,April,0,0,0,4
2024,3,March,0,0,2,1
2024,2,February,0,0,2,1
2023,12,December,0,0,2,0
2023,11,November,0,0,3,1
2023,10,October,0,0,9,0
2023,9,September,0,1,5,2
2023,8,August,0,0,5,9
2023,7,July,1,0,4,6
2023,6,June,0,1,4,28
2023,5,May,5,0,1,5
2023,4,April,0,0,0,1
2023,2,February,0,0,1,0
2022,11,November,2,0,2,0
2022,10,October,0,4,1,1
2022,9,September,0,1,4,2
2022,8,August,0,0,12,6
2022,7,July,4,1,9,11
2022,6,June,4,2,8,27
2022,5,May,9,1,2,10
2022,4,April,1,0,0,3
2022,3,March,0,0,0,2
2022,2,February,1,0,0,0
2021,10,October,0,0,1,0
2021,9,September,2,2,0,1
2021,8,August,1,0,0,0
2021,7,July,0,0,1,2
2021,6,June,0,0,1,8
2021,5,May,0,0,0,1
2021,4,April,0,0,0,2
2021,3,March,0,0,0,4
2021,2,February,0,0,0,2
2021,1,January,1,0,2,0
2020,12,December,0,0,4,1
2020,10,October,0,0,0,1
2020,9,September,0,0,1,2
2020,8,August,0,0,4,0
2020,7,July,1,0,2,1
2020,6,June,0,0,1,7
2020,5,May,0,0,0,7
2020,3,March,0,0,0,3
2020,2,February,0,7,19,0
2019,12,December,0,1,0,1
2019,11,November,0,1,0,1
2019,10,October,0,0,8,1
2019,9,September,2,0,5,2
2019,8,August,3,0,16,6
2019,7,July,8,9,9,20
2019,6,June,15,1,8,17
2019,5,May,1,1,3,15
2019,4,April,2,0,1,12
2019,3,March,0,0,0,1
2019,2,February,9,0,0,17
