Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,11510,14392,14001,24191
2025,7,July,11283,13400,19483,24746
2025,6,June,9198,13744,20697,19262
2025,5,May,12164,12850,14869,19169
2025,4,April,13014,13799,16523,22269
2025,3,March,9469,12155,16923,25474
2025,2,February,8631,11883,16050,22666
2025,1,January,10314,16120,14931,32562
2024,12,December,12816,17840,25215,18904
2024,11,November,8469,14116,15206,17871
2024,10,October,8936,14190,13776,16373
2024,9,September,10830,12705,11810,14852
2024,8,August,10194,11981,10618,18399
2024,7,July,11187,12233,17421,21300
2024,6,June,7572,10355,17663,14856
2024,5,May,9475,10603,12714,15654
2024,4,April,8438,9288,11869,17365
2024,3,March,8424,8057,13860,15557
2024,2,February,7195,7473,12938,17276
2024,1,January,8230,11488,13354,22004
2023,12,December,9085,10843,18720,12260
2023,11,November,7213,11394,13123,13997
2023,10,October,8008,10363,12178,13447
2023,9,September,7956,9090,10472,12265
2023,8,August,8363,9456,9730,17661
2023,7,July,8835,9042,16672,18840
2023,6,June,7441,8865,18067,13612
2023,5,May,8149,8813,11872,15049
2023,4,April,7496,7745,11722,15139
2023,3,March,6507,6351,12060,13795
2023,2,February,5184,5553,10197,13212
2023,1,January,5289,8144,10402,16159
2022,12,December,6023,7053,13800,9844
2022,11,November,4708,7604,10671,11308
2022,10,October,5111,7589,9291,10125
2022,9,September,5665,6713,8316,9100
2022,8,August,5776,6213,7602,13737
2022,7,July,5132,5768,11270,12531
2022,6,June,4239,4978,11166,8724
2022,5,May,5355,5482,7896,8937
2022,4,April,4892,4398,7175,8701
2022,3,March,5102,4496,8438,10115
2022,2,February,4579,4111,7228,9062
2022,1,January,5221,6245,7479,12162
2021,12,December,5449,6880,12816,7885
2021,11,November,4843,6810,8283,8476
2021,10,October,6078,6805,6883,7039
2021,9,September,5720,5668,5939,6575
2021,8,August,5873,6112,5788,9893
2021,7,July,5958,5456,8797,9652
2021,6,June,6002,4521,7488,8041
2021,5,May,5893,4878,5758,7121
2021,4,April,4985,3866,4594,6666
2021,3,March,4091,3029,3873,4350
2021,2,February,2797,1696,2138,3970
2021,1,January,4630,3799,3373,8673
2020,12,December,4036,4974,7347,5194
2020,11,November,4466,5539,6628,6322
2020,10,October,4217,4457,5798,5566
2020,9,September,3726,3622,4714,4724
2020,8,August,4455,3594,4293,6677
2020,7,July,3606,3015,4493,4923
2020,6,June,2118,1942,3028,3068
2020,5,May,1306,1522,1606,1651
2020,4,April,795,868,707,1403
2020,3,March,4536,4219,4381,8091
2020,2,February,5314,4400,6002,8460
2020,1,January,5655,7096,7437,12412
2019,12,December,7490,7387,16085,13067
2019,11,November,5494,6781,11769,12621
2019,10,October,11651,12538,17773,22679
2019,9,September,12881,13320,18892,19416
2019,8,August,15246,16531,17826,26457
2019,7,July,14742,14412,25352,28544
2019,6,June,11787,10698,30724,26141
2019,5,May,11464,12777,26314,23767
2019,4,April,14047,12335,21613,23384
2019,3,March,8227,7120,17761,18151
2019,2,February,7871,7052,13494,14681
2019,1,January,8581,8634,12770,19012
