Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,0,0,5
2025,4,April,0,4,0,0
2025,3,March,0,5,0,0
2025,2,February,0,7,4,0
2025,1,January,0,15,1,0
2024,12,December,0,1,3,0
2024,10,October,0,6,0,0
2024,9,September,0,0,2,0
2024,7,July,0,0,0,5
2024,5,May,0,0,5,0
2024,4,April,0,4,0,0
2024,3,March,0,18,8,0
2024,2,February,0,15,0,0
2024,1,January,0,10,0,0
2023,12,December,0,0,4,0
2023,11,November,0,5,0,0
2023,5,May,0,9,0,0
2023,4,April,2,0,0,4
2023,3,March,0,1,8,0
2023,1,January,0,4,1,0
2022,12,December,0,0,5,0
2022,11,November,0,0,1,0
2022,10,October,0,0,2,0
2022,7,July,0,0,2,0
2022,6,June,0,0,2,0
2022,5,May,0,0,7,0
2022,4,April,0,1,1,0
2022,3,March,0,4,2,0
2022,2,February,0,0,6,0
2022,1,January,0,11,4,0
2021,12,December,0,1,0,0
2021,11,November,0,2,0,0
2021,9,September,0,1,5,0
2021,5,May,0,0,1,0
2021,4,April,0,0,2,0
2021,3,March,0,2,4,0
2021,2,February,0,2,0,0
2021,1,January,0,3,0,0
2020,12,December,0,0,1,0
2020,11,November,0,3,0,0
2020,3,March,0,2,0,0
2019,12,December,0,0,2,0
2019,11,November,0,0,1,0
2019,5,May,0,1,8,0
2019,2,February,0,2,4,0
