Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,5,0,0
2025,3,March,0,0,1,0
2025,1,January,0,0,3,0
2024,12,December,0,1,4,0
2024,10,October,0,16,0,0
2024,9,September,0,2,13,0
2024,8,August,0,0,12,0
2024,6,June,0,0,4,0
2024,4,April,1,0,0,0
2024,2,February,0,0,0,8
2023,7,July,0,4,3,0
2023,6,June,0,0,9,0
2023,1,January,0,0,2,0
2022,3,March,0,2,0,0
2021,5,May,0,0,1,0
2021,4,April,0,0,1,0
2019,8,August,0,0,0,1
2019,5,May,0,1,3,0
2019,4,April,0,1,7,8
2019,2,February,0,7,1,0
2019,1,January,0,2,8,0
