Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,99,11,57,180
2025,7,July,20,19,96,59
2025,6,June,11,43,95,51
2025,5,May,2,10,93,10
2025,4,April,8,23,99,16
2025,3,March,0,1,151,67
2025,2,February,50,7,96,98
2025,1,January,10,6,111,66
2024,12,December,15,29,155,38
2024,11,November,8,14,192,124
2024,10,October,12,8,92,57
2024,9,September,11,2,31,1
2024,8,August,0,6,103,48
2024,7,July,2,1,110,56
2024,6,June,89,21,104,211
2024,5,May,14,15,89,13
2024,4,April,5,12,81,58
2024,3,March,2,8,251,44
2024,2,February,2,22,243,39
2024,1,January,2,0,67,79
2023,12,December,4,6,120,20
2023,11,November,12,17,182,41
2023,10,October,7,13,87,26
2023,9,September,7,10,24,16
2023,8,August,3,4,69,66
2023,7,July,11,15,84,45
2023,6,June,0,7,114,60
2023,5,May,15,10,91,30
2023,4,April,2,3,87,67
2023,3,March,19,16,185,118
2023,2,February,4,7,147,73
2023,1,January,0,0,108,62
2022,12,December,6,6,93,33
2022,11,November,35,6,114,52
2022,10,October,152,1,61,111
2022,9,September,2,4,24,4
2022,8,August,52,12,78,103
2022,7,July,4,0,92,17
2022,6,June,0,0,69,41
2022,5,May,5,9,83,17
2022,4,April,8,17,89,31
2022,3,March,3,1,134,33
2022,2,February,1,3,99,43
2022,1,January,2,4,109,23
2021,12,December,13,4,107,65
2021,11,November,0,9,137,45
2021,10,October,3,3,24,12
2021,9,September,6,3,67,10
2021,8,August,2,9,70,58
2021,7,July,0,8,99,31
2021,6,June,0,8,81,13
2021,5,May,3,0,96,43
2021,4,April,5,2,112,33
2021,3,March,1,3,88,52
2021,2,February,0,0,64,9
2021,1,January,4,0,35,33
2020,12,December,2,2,46,12
2020,11,November,0,0,51,6
2020,10,October,0,0,41,0
2020,9,September,1,3,16,2
2020,8,August,3,0,7,0
2020,7,July,2,4,55,19
2020,6,June,2,3,15,0
2020,5,May,11,8,0,0
2020,4,April,7,7,0,0
2020,3,March,0,1,84,58
2020,2,February,2,2,152,21
2020,1,January,35,42,119,105
2019,12,December,9,14,95,68
2019,11,November,8,15,38,25
2019,10,October,0,0,34,5
2019,9,September,4,7,18,22
2019,8,August,2,4,105,53
2019,7,July,0,0,86,57
2019,6,June,10,5,108,36
2019,5,May,0,3,63,29
2019,4,April,5,23,56,45
2019,3,March,44,61,404,80
2019,2,February,0,1,132,44
2019,1,January,4,18,66,76
