Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,260934,279407,99386,128752
2025,7,July,254864,234777,152009,165610
2025,6,June,188763,191728,163064,154609
2025,5,May,209795,230555,129077,114650
2025,4,April,270359,247789,92652,102913
2025,3,March,233983,252466,121051,133778
2025,2,February,242179,235395,86546,92076
2025,1,January,258315,288537,86634,136627
2024,12,December,284774,250846,148460,112046
2024,11,November,215628,227842,99301,97878
2024,10,October,216134,202624,88706,93667
2024,9,September,201139,207819,87066,101735
2024,8,August,248166,254590,100850,127761
2024,7,July,239380,217569,143085,162752
2024,6,June,172257,171330,163600,152159
2024,5,May,204733,222228,110675,97138
2024,4,April,227449,227438,76310,92029
2024,3,March,247992,233056,106587,109812
2024,2,February,224897,220097,78625,83525
2024,1,January,232897,262225,73211,119864
2023,12,December,254347,224352,128061,90598
2023,11,November,194697,200716,89229,93574
2023,10,October,205456,191756,80195,90756
2023,9,September,172297,178267,83058,88439
2023,8,August,214479,221189,85572,112054
2023,7,July,218904,196946,128343,144708
2023,6,June,153715,149898,142515,130256
2023,5,May,174630,188810,108325,99237
2023,4,April,226608,222304,80170,88443
2023,3,March,211792,200068,96494,101250
2023,2,February,190826,182601,72429,77719
2023,1,January,195931,219910,67093,104084
2022,12,December,218459,187501,106570,79737
2022,11,November,167679,175135,71308,77178
2022,10,October,193741,182395,67644,74118
2022,9,September,148277,152575,63988,68909
2022,8,August,199539,196951,77586,107010
2022,7,July,197461,171278,110998,125467
2022,6,June,132063,131232,118252,106838
2022,5,May,153739,158715,83922,79109
2022,4,April,175053,164653,61062,66882
2022,3,March,136815,128975,71680,80396
2022,2,February,100217,89242,44558,48136
2022,1,January,91866,112609,37079,67894
2021,12,December,136194,119353,82321,58927
2021,11,November,85379,72372,47165,52168
2021,10,October,64650,52598,38472,41918
2021,9,September,45970,42954,34386,38672
2021,8,August,55397,56532,35712,52944
2021,7,July,60303,53118,50976,52103
2021,6,June,43280,37164,40932,39701
2021,5,May,36909,31405,31979,30949
2021,4,April,22618,19237,21183,24265
2021,3,March,17443,12389,20025,21379
2021,2,February,11566,11077,8739,11237
2021,1,January,21528,23911,10742,24921
2020,12,December,26856,22016,23088,14840
2020,11,November,15028,13043,11848,12215
2020,10,October,8525,6080,7827,7318
2020,9,September,3626,3262,3499,3720
2020,8,August,2779,3197,3760,4425
2020,7,July,2820,3476,3329,3051
2020,6,June,326,412,373,379
2020,5,May,699,1206,144,285
2020,4,April,381,3087,184,212
2020,3,March,92405,151297,29013,41478
2020,2,February,224019,215109,45460,49599
2020,1,January,221697,241336,41826,75756
2019,12,December,250062,222694,81524,59387
2019,11,November,216171,220179,52302,56022
2019,10,October,234231,220155,53427,57656
2019,9,September,202148,206367,50235,57482
2019,8,August,273412,293208,66451,90700
2019,7,July,281949,254107,91798,105284
2019,6,June,216343,204687,110664,98803
2019,5,May,237299,241972,85977,78095
2019,4,April,286378,265271,56727,64263
2019,3,March,247559,249085,80510,87166
2019,2,February,227295,216879,48237,51731
2019,1,January,230285,256821,44061,80409
