Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,14,4
2025,7,July,0,6,20,12
2025,6,June,0,1,8,7
2025,5,May,1,1,21,26
2025,4,April,4,6,2,2
2025,3,March,1,2,12,11
2025,2,February,5,0,6,32
2025,1,January,0,1,22,22
2024,12,December,1,1,46,25
2024,11,November,2,2,5,2
2024,10,October,10,3,13,10
2024,9,September,5,4,0,2
2024,8,August,1,1,9,24
2024,7,July,0,0,7,9
2024,6,June,6,4,20,12
2024,5,May,42,43,3,33
2024,4,April,0,0,1,10
2024,3,March,2,7,15,0
2024,2,February,3,2,6,15
2024,1,January,1,1,8,6
2023,12,December,3,4,20,1
2023,11,November,2,3,3,9
2023,10,October,2,5,3,7
2023,9,September,10,10,8,22
2023,8,August,0,0,9,10
2023,7,July,0,3,6,31
2023,6,June,5,2,4,9
2023,5,May,2,8,4,13
2023,4,April,12,11,16,8
2023,3,March,4,10,13,19
2023,2,February,9,2,16,14
2023,1,January,0,0,0,6
2022,12,December,9,6,25,9
2022,11,November,3,2,3,25
2022,10,October,4,2,21,10
2022,9,September,8,8,1,0
2022,8,August,5,0,26,9
2022,7,July,0,0,13,10
2022,6,June,0,3,21,0
2022,5,May,0,0,6,0
2022,4,April,0,2,30,0
2022,3,March,0,0,8,0
2022,2,February,0,6,4,0
2021,12,December,0,0,15,0
2021,9,September,0,3,10,0
2021,8,August,0,0,11,0
2021,7,July,0,2,0,0
2021,6,June,0,0,3,0
2021,2,February,0,0,3,0
2021,1,January,0,0,1,0
2020,10,October,0,1,4,0
2020,5,May,0,0,0,6
2020,1,January,0,3,7,0
2019,12,December,0,4,8,0
2019,11,November,0,0,12,0
2019,10,October,0,2,2,0
2019,9,September,0,0,1,0
2019,7,July,0,0,3,0
2019,6,June,0,2,7,0
2019,5,May,0,1,7,0
2019,3,March,0,0,2,0
2019,1,January,0,7,4,0
