Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,1,1,0
2025,5,May,0,0,4,0
2024,12,December,0,2,0,0
2024,11,November,0,5,0,0
2024,10,October,0,22,0,0
2024,6,June,0,2,0,0
2024,4,April,0,11,1,0
2024,3,March,0,0,10,0
2023,10,October,0,2,0,0
2023,7,July,0,0,6,0
2023,3,March,0,7,1,0
2022,11,November,0,2,0,0
2022,8,August,0,11,0,0
2022,5,May,0,2,0,0
2022,4,April,0,11,7,0
2022,3,March,0,4,1,0
2022,2,February,0,5,0,0
2021,11,November,0,4,0,0
2021,10,October,0,4,0,0
2020,8,August,0,18,14,0
2019,10,October,0,3,0,0
2019,9,September,0,6,0,0
2019,7,July,0,2,0,0
2019,5,May,0,11,0,0
2019,4,April,0,2,0,0
2019,2,February,0,0,2,0
