Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,2,0,0
2025,4,April,0,8,0,0
2025,2,February,0,0,1,0
2024,12,December,0,12,1,0
2024,5,May,0,1,1,0
2023,12,December,0,7,1,0
2023,4,April,0,4,0,0
2023,1,January,0,0,5,0
2022,5,May,0,2,0,0
2022,3,March,0,1,4,0
2021,11,November,0,0,2,0
2021,1,January,0,0,2,0
2020,12,December,0,5,0,0
2020,5,May,0,2,0,0
2020,3,March,0,2,0,0
2020,2,February,0,4,0,0
2019,12,December,0,2,2,0
2019,5,May,0,1,1,0
2019,4,April,0,0,4,0
2019,3,March,0,2,0,0
2019,2,February,0,9,0,0
2019,1,January,0,0,2,0
