Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,14,50,0
2025,1,January,0,1,0,0
2024,10,October,0,2,1,0
2024,9,September,0,8,0,0
2024,8,August,0,4,0,0
2024,5,May,0,10,2,0
2024,4,April,0,6,2,0
2023,10,October,0,5,0,0
2023,8,August,0,12,2,0
2023,6,June,0,5,1,0
2023,4,April,0,3,1,0
2023,1,January,0,3,1,0
2022,5,May,0,8,1,0
2021,8,August,0,2,3,0
2020,9,September,0,3,0,0
2020,6,June,0,1,0,0
2020,1,January,0,0,1,0
2019,6,June,0,2,5,0
