Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,3,0
2025,5,May,13,0,0,0
2025,4,April,15,0,0,0
2025,3,March,1,0,0,0
2024,11,November,0,0,3,0
2024,10,October,0,0,34,0
2024,8,August,0,0,3,0
2023,12,December,0,0,8,0
2020,10,October,0,0,4,0
2020,3,March,0,0,3,0
2020,2,February,0,0,17,0
2020,1,January,0,0,1,0
2019,12,December,0,0,5,0
2019,10,October,0,0,7,0
2019,8,August,0,0,15,0
2019,7,July,0,4,0,0
2019,6,June,0,4,0,0
2019,5,May,0,0,4,0
