Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,8,1,0
2025,7,July,0,3,7,0
2025,5,May,0,0,8,0
2024,9,September,0,0,2,0
2024,8,August,0,0,3,0
2024,7,July,0,0,6,0
2024,6,June,0,0,11,0
2024,5,May,0,0,7,0
2023,12,December,0,1,11,0
2023,6,June,0,2,12,0
2022,10,October,0,1,3,0
2022,8,August,0,0,9,0
2022,7,July,0,2,5,0
2022,6,June,0,0,6,0
2021,11,November,0,0,2,0
2021,2,February,0,1,1,0
2019,9,September,0,0,4,0
2019,8,August,0,0,2,0
2019,7,July,0,2,4,0
2019,6,June,0,0,5,0
