Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,0,0,0
2025,7,July,5,1,0,0
2025,5,May,2,2,0,0
2025,3,March,4,0,3,0
2024,10,October,2,0,0,1
2024,7,July,4,0,0,0
2024,4,April,1,0,0,0
2023,10,October,2,0,0,0
2023,9,September,0,0,0,1
2023,8,August,0,1,0,0
2023,7,July,3,1,1,3
2023,6,June,2,0,4,0
2023,5,May,1,0,0,0
2023,3,March,1,0,0,0
2023,1,January,0,2,0,0
2022,11,November,0,1,0,0
2022,8,August,1,1,0,0
2022,7,July,1,0,0,0
2022,6,June,1,0,0,0
2021,11,November,2,0,0,0
2021,10,October,27,1,0,1
2021,8,August,0,2,0,0
2021,7,July,1,0,0,0
2021,3,March,2,0,0,0
2020,8,August,2,2,0,0
2020,7,July,2,0,0,0
2020,3,March,0,1,0,0
2020,2,February,2,0,0,0
2020,1,January,1,0,0,0
2019,11,November,1,0,0,0
2019,10,October,1,0,0,6
2019,8,August,1,0,0,0
2019,7,July,5,1,3,1
2019,5,May,8,3,0,0
2019,4,April,0,0,1,3
